project,datetime,siteId,rType,sublocation,SN,condUncal,tempC,rep,SpC,wetdry,qual_rating,QAQC
AIMS,2021-05-20T13:00:00Z,04T02,STIC,LS,21064688,0,18.331000000000003,20210520-20210627,0,0,poor,C
AIMS,2021-05-20T13:15:00Z,04T02,STIC,LS,21064688,0,18.331000000000003,20210520-20210627,0,0,poor,C
AIMS,2021-05-20T13:30:00Z,04T02,STIC,LS,21064688,0,18.521,20210520-20210627,0,0,poor,C
AIMS,2021-05-20T13:45:00Z,04T02,STIC,LS,21064688,0,18.711000000000002,20210520-20210627,0,0,poor,C
AIMS,2021-05-20T14:00:00Z,04T02,STIC,LS,21064688,0,19.092,20210520-20210627,0,0,poor,C
AIMS,2021-05-20T14:15:00Z,04T02,STIC,LS,21064688,0,19.662,20210520-20210627,0,0,poor,C
AIMS,2021-05-20T14:30:00Z,04T02,STIC,LS,21064688,0,20.519000000000002,20210520-20210627,0,0,poor,C
AIMS,2021-05-20T14:45:00Z,04T02,STIC,LS,21064688,0,21.091,20210520-20210627,0,0,poor,C
AIMS,2021-05-20T15:00:00Z,04T02,STIC,LS,21064688,0,21.473,20210520-20210627,0,0,poor,C
AIMS,2021-05-20T15:15:00Z,04T02,STIC,LS,21064688,0,21.951,20210520-20210627,0,0,poor,C
AIMS,2021-05-20T15:30:00Z,04T02,STIC,LS,21064688,0,22.238,20210520-20210627,0,0,poor,C
AIMS,2021-05-20T15:45:00Z,04T02,STIC,LS,21064688,0,22.333000000000002,20210520-20210627,0,0,poor,C
AIMS,2021-05-20T16:00:00Z,04T02,STIC,LS,21064688,0,22.142,20210520-20210627,0,0,poor,C
AIMS,2021-05-20T16:15:00Z,04T02,STIC,LS,21064688,0,22.046,20210520-20210627,0,0,poor,C
AIMS,2021-05-20T16:30:00Z,04T02,STIC,LS,21064688,0,21.855,20210520-20210627,0,0,poor,C
AIMS,2021-05-20T16:45:00Z,04T02,STIC,LS,21064688,0,21.664,20210520-20210627,0,0,poor,C
AIMS,2021-05-20T17:00:00Z,04T02,STIC,LS,21064688,0,21.473,20210520-20210627,0,0,poor,C
AIMS,2021-05-20T17:15:00Z,04T02,STIC,LS,21064688,0,21.473,20210520-20210627,0,0,poor,C
AIMS,2021-05-20T17:30:00Z,04T02,STIC,LS,21064688,0,21.473,20210520-20210627,0,0,poor,C
AIMS,2021-05-20T17:45:00Z,04T02,STIC,LS,21064688,0,21.569,20210520-20210627,0,0,poor,C
AIMS,2021-05-20T18:00:00Z,04T02,STIC,LS,21064688,0,21.664,20210520-20210627,0,0,poor,C
AIMS,2021-05-20T18:15:00Z,04T02,STIC,LS,21064688,0,21.855,20210520-20210627,0,0,poor,C
AIMS,2021-05-20T18:30:00Z,04T02,STIC,LS,21064688,0,21.855,20210520-20210627,0,0,poor,C
AIMS,2021-05-20T18:45:00Z,04T02,STIC,LS,21064688,0,21.855,20210520-20210627,0,0,poor,C
AIMS,2021-05-20T19:00:00Z,04T02,STIC,LS,21064688,0,21.855,20210520-20210627,0,0,poor,C
AIMS,2021-05-20T19:15:00Z,04T02,STIC,LS,21064688,0,21.759999999999998,20210520-20210627,0,0,poor,C
AIMS,2021-05-20T19:30:00Z,04T02,STIC,LS,21064688,0,21.664,20210520-20210627,0,0,poor,C
AIMS,2021-05-20T19:45:00Z,04T02,STIC,LS,21064688,0,21.473,20210520-20210627,0,0,poor,C
AIMS,2021-05-20T20:00:00Z,04T02,STIC,LS,21064688,0,21.281999999999996,20210520-20210627,0,0,poor,C
AIMS,2021-05-20T20:15:00Z,04T02,STIC,LS,21064688,0,21.091,20210520-20210627,0,0,poor,C
