project,datetime,siteId,rType,sublocation,SN,condUncal,tempC,rep,SpC,wetdry,qual_rating,QAQC
AIMS,2021-05-20T13:00:00Z,SFT02,STIC,LS,21064698,0,18.044999999999998,20210520-20210902,0,0,excellent,C
AIMS,2021-05-20T13:15:00Z,SFT02,STIC,LS,21064698,0,18.331000000000003,20210520-20210902,0,0,excellent,C
AIMS,2021-05-20T13:30:00Z,SFT02,STIC,LS,21064698,0,18.806,20210520-20210902,0,0,excellent,C
AIMS,2021-05-20T13:45:00Z,SFT02,STIC,LS,21064698,0,19.377000000000002,20210520-20210902,0,0,excellent,C
AIMS,2021-05-20T14:00:00Z,SFT02,STIC,LS,21064698,0,20.138,20210520-20210902,0,0,excellent,C
AIMS,2021-05-20T14:15:00Z,SFT02,STIC,LS,21064698,0,20.996,20210520-20210902,0,0,excellent,C
AIMS,2021-05-20T14:30:00Z,SFT02,STIC,LS,21064698,0,21.664,20210520-20210902,0,0,excellent,C
AIMS,2021-05-20T14:45:00Z,SFT02,STIC,LS,21064698,0,22.046,20210520-20210902,0,0,excellent,C
AIMS,2021-05-20T15:00:00Z,SFT02,STIC,LS,21064698,0,22.429,20210520-20210902,0,0,excellent,C
AIMS,2021-05-20T15:15:00Z,SFT02,STIC,LS,21064698,0,23.004,20210520-20210902,0,0,excellent,C
AIMS,2021-05-20T15:30:00Z,SFT02,STIC,LS,21064698,0,23.581,20210520-20210902,0,0,excellent,C
AIMS,2021-05-20T15:45:00Z,SFT02,STIC,LS,21064698,0,24.158,20210520-20210902,0,0,excellent,C
AIMS,2021-05-20T16:00:00Z,SFT02,STIC,LS,21064698,0,24.447999999999997,20210520-20210902,0,0,excellent,C
AIMS,2021-05-20T16:15:00Z,SFT02,STIC,LS,21064698,0,24.835,20210520-20210902,0,0,excellent,C
AIMS,2021-05-20T16:30:00Z,SFT02,STIC,LS,21064698,0,24.931,20210520-20210902,0,0,excellent,C
AIMS,2021-05-20T16:45:00Z,SFT02,STIC,LS,21064698,0,24.835,20210520-20210902,0,0,excellent,C
