project,datetime,siteId,rType,sublocation,SN,condUncal,tempC,rep,SpC,wetdry,qual_rating,QAQC
AIMS,2022-01-01T00:00:00Z,02M08,STIC,LS,20821657,1130.2,2.303,20210927-20220112,NA,1,excellent,NA
AIMS,2022-01-01T00:15:00Z,02M08,STIC,LS,20821657,1097.9,2.088,20210927-20220112,NA,1,excellent,NA
AIMS,2022-01-01T00:30:00Z,02M08,STIC,LS,20821657,1097.9,1.764,20210927-20220112,NA,1,excellent,NA
AIMS,2022-01-01T00:45:00Z,02M08,STIC,LS,20821657,1065.6,1.548,20210927-20220112,NA,1,excellent,NA
AIMS,2022-01-01T01:00:00Z,02M08,STIC,LS,20821657,1054.9,1.33,20210927-20220112,NA,1,excellent,NA
AIMS,2022-01-01T01:15:00Z,02M08,STIC,LS,20821657,1044.1,1.2209999999999999,20210927-20220112,NA,1,excellent,NA
AIMS,2022-01-01T01:30:00Z,02M08,STIC,LS,20821657,1033.3,1.2209999999999999,20210927-20220112,NA,1,excellent,NA
AIMS,2022-01-01T01:45:00Z,02M08,STIC,LS,20821657,1033.3,1.112,20210927-20220112,NA,1,excellent,NA
AIMS,2022-01-01T02:00:00Z,02M08,STIC,LS,20821657,1033.3,1.003,20210927-20220112,NA,1,excellent,NA
AIMS,2022-01-01T02:15:00Z,02M08,STIC,LS,20821657,1011.8,0.893,20210927-20220112,NA,1,excellent,NA
AIMS,2022-01-01T02:30:00Z,02M08,STIC,LS,20821657,1011.8,0.7839999999999999,20210927-20220112,NA,1,excellent,NA
AIMS,2022-01-01T02:45:00Z,02M08,STIC,LS,20821657,1011.8,0.7839999999999999,20210927-20220112,NA,1,excellent,NA
AIMS,2022-01-01T03:00:00Z,02M08,STIC,LS,20821657,1011.8,0.7839999999999999,20210927-20220112,NA,1,excellent,NA
AIMS,2022-01-01T03:15:00Z,02M08,STIC,LS,20821657,1001,0.7839999999999999,20210927-20220112,NA,1,excellent,NA
AIMS,2022-01-01T03:30:00Z,02M08,STIC,LS,20821657,1001,0.6739999999999999,20210927-20220112,NA,1,excellent,NA
AIMS,2022-01-01T03:45:00Z,02M08,STIC,LS,20821657,1001,0.5630000000000001,20210927-20220112,NA,1,excellent,NA
AIMS,2022-01-01T04:00:00Z,02M08,STIC,LS,20821657,1001,0.453,20210927-20220112,NA,1,excellent,NA
AIMS,2022-01-01T04:15:00Z,02M08,STIC,LS,20821657,990.3,0.453,20210927-20220112,NA,1,excellent,NA
