project,datetime,siteId,rType,sublocation,SN,condUncal,tempC,rep,SpC,wetdry,qual_rating,QAQC
AIMS,2022-01-01T00:00:00Z,04W01,STIC,HS,20946489,21.52782083,3.892777778,20210927-20220112,0,0,excellent,C
AIMS,2022-01-01T00:15:00Z,04W01,STIC,HS,20946489,21.52782083,3.6827777780000006,20210927-20220112,0,0,excellent,C
AIMS,2022-01-01T00:30:00Z,04W01,STIC,HS,20946489,21.52782083,3.367222222,20210927-20220112,0,0,excellent,C
AIMS,2022-01-01T00:45:00Z,04W01,STIC,HS,20946489,21.52782083,3.155,20210927-20220112,0,0,excellent,C
AIMS,2022-01-01T01:00:00Z,04W01,STIC,HS,20946489,21.52782083,2.9427777780000004,20210927-20220112,0,0,excellent,C
AIMS,2022-01-01T01:15:00Z,04W01,STIC,HS,20946489,32.291731250000005,2.837222222,20210927-20220112,0,0,excellent,C
AIMS,2022-01-01T01:30:00Z,04W01,STIC,HS,20946489,32.291731250000005,2.73,20210927-20220112,0,0,excellent,C
AIMS,2022-01-01T01:45:00Z,04W01,STIC,HS,20946489,32.291731250000005,2.73,20210927-20220112,0,0,excellent,C
AIMS,2022-01-01T02:00:00Z,04W01,STIC,HS,20946489,32.291731250000005,2.623888889,20210927-20220112,0,0,excellent,C
AIMS,2022-01-01T02:15:00Z,04W01,STIC,HS,20946489,43.05564166999999,2.517222222,20210927-20220112,0,0,excellent,C
AIMS,2022-01-01T02:30:00Z,04W01,STIC,HS,20946489,43.05564166999999,2.517222222,20210927-20220112,0,0,excellent,C
AIMS,2022-01-01T02:45:00Z,04W01,STIC,HS,20946489,43.05564166999999,2.517222222,20210927-20220112,0,0,excellent,C
AIMS,2022-01-01T03:00:00Z,04W01,STIC,HS,20946489,43.05564166999999,2.517222222,20210927-20220112,0,0,excellent,C
AIMS,2022-01-01T03:15:00Z,04W01,STIC,HS,20946489,43.05564166999999,2.4099999999999997,20210927-20220112,0,0,excellent,C
AIMS,2022-01-01T03:30:00Z,04W01,STIC,HS,20946489,43.05564166999999,2.4099999999999997,20210927-20220112,0,0,excellent,C
AIMS,2022-01-01T03:45:00Z,04W01,STIC,HS,20946489,43.05564166999999,2.3027777780000003,20210927-20220112,0,0,excellent,C
AIMS,2022-01-01T04:00:00Z,04W01,STIC,HS,20946489,43.05564166999999,2.3027777780000003,20210927-20220112,0,0,excellent,C
AIMS,2022-01-01T04:15:00Z,04W01,STIC,HS,20946489,43.05564166999999,2.195,20210927-20220112,0,0,excellent,C
AIMS,2022-01-01T04:30:00Z,04W01,STIC,HS,20946489,43.05564166999999,2.087777778000001,20210927-20220112,0,0,excellent,C
AIMS,2022-01-01T04:45:00Z,04W01,STIC,HS,20946489,43.05564166999999,2.087777778000001,20210927-20220112,0,0,excellent,C
AIMS,2022-01-01T05:00:00Z,04W01,STIC,HS,20946489,43.05564166999999,1.98,20210927-20220112,0,0,excellent,C
AIMS,2022-01-01T05:15:00Z,04W01,STIC,HS,20946489,43.05564166999999,1.98,20210927-20220112,0,0,excellent,C
AIMS,2022-01-01T05:30:00Z,04W01,STIC,HS,20946489,43.05564166999999,1.98,20210927-20220112,0,0,excellent,C
AIMS,2022-01-01T05:45:00Z,04W01,STIC,HS,20946489,43.05564166999999,1.98,20210927-20220112,0,0,excellent,C
AIMS,2022-01-01T06:00:00Z,04W01,STIC,HS,20946489,43.05564166999999,1.872222222,20210927-20220112,0,0,excellent,C
AIMS,2022-01-01T06:15:00Z,04W01,STIC,HS,20946489,53.81955208,1.763888889,20210927-20220112,0,0,excellent,C
AIMS,2022-01-01T06:30:00Z,04W01,STIC,HS,20946489,53.81955208,1.763888889,20210927-20220112,0,0,excellent,C
AIMS,2022-01-01T06:45:00Z,04W01,STIC,HS,20946489,53.81955208,1.6561111110000002,20210927-20220112,0,0,excellent,C
AIMS,2022-01-01T07:00:00Z,04W01,STIC,HS,20946489,53.81955208,1.547777778,20210927-20220112,0,0,excellent,C
AIMS,2022-01-01T07:15:00Z,04W01,STIC,HS,20946489,43.05564166999999,1.33,20210927-20220112,0,0,excellent,C
AIMS,2022-01-01T07:30:00Z,04W01,STIC,HS,20946489,43.05564166999999,1.221111111,20210927-20220112,0,0,excellent,C
AIMS,2022-01-01T07:45:00Z,04W01,STIC,HS,20946489,43.05564166999999,1.002777778,20210927-20220112,0,0,excellent,C
AIMS,2022-01-01T08:00:00Z,04W01,STIC,HS,20946489,43.05564166999999,1.002777778,20210927-20220112,0,0,excellent,C
AIMS,2022-01-01T08:15:00Z,04W01,STIC,HS,20946489,43.05564166999999,0.892777778,20210927-20220112,0,0,excellent,C
AIMS,2022-01-01T08:30:00Z,04W01,STIC,HS,20946489,43.05564166999999,0.6738888889999999,20210927-20220112,0,0,excellent,C
AIMS,2022-01-01T08:45:00Z,04W01,STIC,HS,20946489,43.05564166999999,0.5627777780000001,20210927-20220112,0,0,excellent,C
AIMS,2022-01-01T09:00:00Z,04W01,STIC,HS,20946489,43.05564166999999,0.342777778,20210927-20220112,0,0,excellent,C
AIMS,2022-01-01T09:15:00Z,04W01,STIC,HS,20946489,53.81955208,0.12111111100000001,20210927-20220112,0,0,excellent,C
AIMS,2022-01-01T09:30:00Z,04W01,STIC,HS,20946489,43.05564166999999,-0.10222222200000003,20210927-20220112,0,0,excellent,C
AIMS,2022-01-01T09:45:00Z,04W01,STIC,HS,20946489,53.81955208,-0.212777778,20210927-20220112,0,0,excellent,C
