project,datetime,siteId,rType,sublocation,SN,condUncal,tempC,rep,SpC,wetdry,qual_rating,QAQC
AIMS,2022-02-11T18:15:00Z,SFT02,STIC,HS,21064687,0,25.125,20220211-20220720,0,0,excellent,C
AIMS,2022-02-11T18:30:00Z,SFT02,STIC,HS,21064687,0,19.281999999999996,20220211-20220720,0,0,excellent,C
AIMS,2022-02-11T18:45:00Z,SFT02,STIC,HS,21064687,0,16.427,20220211-20220720,0,0,excellent,C
AIMS,2022-02-11T19:00:00Z,SFT02,STIC,HS,21064687,0,17.57,20220211-20220720,0,0,excellent,C
AIMS,2022-02-11T19:15:00Z,SFT02,STIC,HS,21064687,0,16.903,20220211-20220720,0,0,excellent,C
AIMS,2022-02-11T19:30:00Z,SFT02,STIC,HS,21064687,0,16.808,20220211-20220720,0,0,excellent,C
AIMS,2022-02-11T19:45:00Z,SFT02,STIC,HS,21064687,0,16.427,20220211-20220720,0,0,excellent,C
AIMS,2022-02-11T20:00:00Z,SFT02,STIC,HS,21064687,0,16.523,20220211-20220720,0,0,excellent,C
AIMS,2022-02-11T20:15:00Z,SFT02,STIC,HS,21064687,0,17.379,20220211-20220720,0,0,excellent,C
AIMS,2022-02-11T20:30:00Z,SFT02,STIC,HS,21064687,0,20.424,20220211-20220720,0,0,excellent,C
AIMS,2022-02-11T20:45:00Z,SFT02,STIC,HS,21064687,0,18.996,20220211-20220720,0,0,excellent,C
AIMS,2022-02-11T21:00:00Z,SFT02,STIC,HS,21064687,0,18.14,20220211-20220720,0,0,excellent,C
AIMS,2022-02-11T21:15:00Z,SFT02,STIC,HS,21064687,0,17.474999999999998,20220211-20220720,0,0,excellent,C
AIMS,2022-02-11T21:30:00Z,SFT02,STIC,HS,21064687,0,15.951,20220211-20220720,0,0,excellent,C
AIMS,2022-02-11T21:45:00Z,SFT02,STIC,HS,21064687,0,14.517,20220211-20220720,0,0,excellent,C
AIMS,2022-02-11T22:00:00Z,SFT02,STIC,HS,21064687,0,12.98,20220211-20220720,0,0,excellent,C
AIMS,2022-02-11T22:15:00Z,SFT02,STIC,HS,21064687,0,11.819,20220211-20220720,0,0,excellent,C
AIMS,2022-02-11T22:30:00Z,SFT02,STIC,HS,21064687,0,10.943999999999999,20220211-20220720,0,0,excellent,C
AIMS,2022-02-11T22:45:00Z,SFT02,STIC,HS,21064687,0,9.965000000000002,20220211-20220720,0,0,excellent,C
AIMS,2022-02-11T23:00:00Z,SFT02,STIC,HS,21064687,0,8.978,20220211-20220720,0,0,excellent,C
AIMS,2022-02-11T23:15:00Z,SFT02,STIC,HS,21064687,0,8.182,20220211-20220720,0,0,excellent,C
AIMS,2022-02-11T23:30:00Z,SFT02,STIC,HS,21064687,0,7.28,20220211-20220720,0,0,excellent,C
AIMS,2022-02-11T23:45:00Z,SFT02,STIC,HS,21064687,0,6.37,20220211-20220720,0,0,excellent,C
AIMS,2022-02-12T00:00:00Z,SFT02,STIC,HS,21064687,0,5.552,20220211-20220720,0,0,excellent,C
AIMS,2022-02-12T00:15:00Z,SFT02,STIC,HS,21064687,0,4.622999999999999,20220211-20220720,0,0,excellent,C
AIMS,2022-02-12T00:30:00Z,SFT02,STIC,HS,21064687,0,3.7880000000000003,20220211-20220720,0,0,excellent,C
AIMS,2022-02-12T00:45:00Z,SFT02,STIC,HS,21064687,0,3.049,20220211-20220720,0,0,excellent,C
AIMS,2022-02-12T01:00:00Z,SFT02,STIC,HS,21064687,0,2.4099999999999997,20220211-20220720,0,0,excellent,C
AIMS,2022-02-12T01:15:00Z,SFT02,STIC,HS,21064687,0,1.872,20220211-20220720,0,0,excellent,C
AIMS,2022-02-12T01:30:00Z,SFT02,STIC,HS,21064687,0,1.33,20220211-20220720,0,0,excellent,C
AIMS,2022-02-12T01:45:00Z,SFT02,STIC,HS,21064687,0,0.893,20220211-20220720,0,0,excellent,C
AIMS,2022-02-12T02:00:00Z,SFT02,STIC,HS,21064687,0,0.5630000000000001,20220211-20220720,0,0,excellent,C
AIMS,2022-02-12T02:15:00Z,SFT02,STIC,HS,21064687,0,0.12100000000000001,20220211-20220720,0,0,excellent,C
