project,datetime,siteId,rType,sublocation,SN,condUncal,tempC,rep,SpC,wetdry,qual_rating,QAQC
AIMS,2023-01-01T00:00:00Z,02M08,STIC,HS,20946496,0,-1.456111111,20220721-20230116,0,0,excellent,C
AIMS,2023-01-01T00:15:00Z,02M08,STIC,HS,20946496,0,-1.9138888889999999,20220721-20230116,0,0,excellent,C
AIMS,2023-01-01T00:30:00Z,02M08,STIC,HS,20946496,0,-2.2611111110000004,20220721-20230116,0,0,excellent,C
AIMS,2023-01-01T00:45:00Z,02M08,STIC,HS,20946496,0,-2.4938888889999995,20220721-20230116,0,0,excellent,C
AIMS,2023-01-01T01:00:00Z,02M08,STIC,HS,20946496,0,-2.7272222220000004,20220721-20230116,0,0,excellent,C
AIMS,2023-01-01T01:15:00Z,02M08,STIC,HS,20946496,0,-2.8438888889999996,20220721-20230116,0,0,excellent,C
AIMS,2023-01-01T01:30:00Z,02M08,STIC,HS,20946496,0,-2.8438888889999996,20220721-20230116,0,0,excellent,C
AIMS,2023-01-01T01:45:00Z,02M08,STIC,HS,20946496,0,-3.0788888889999995,20220721-20230116,0,0,excellent,C
AIMS,2023-01-01T02:00:00Z,02M08,STIC,HS,20946496,0,-3.0788888889999995,20220721-20230116,0,0,excellent,C
AIMS,2023-01-01T02:15:00Z,02M08,STIC,HS,20946496,0,-3.197222222,20220721-20230116,0,0,excellent,C
AIMS,2023-01-01T02:30:00Z,02M08,STIC,HS,20946496,0,-3.3161111109999997,20220721-20230116,0,0,excellent,C
AIMS,2023-01-01T02:45:00Z,02M08,STIC,HS,20946496,0,-3.3161111109999997,20220721-20230116,0,0,excellent,C
AIMS,2023-01-01T03:00:00Z,02M08,STIC,HS,20946496,0,-3.3161111109999997,20220721-20230116,0,0,excellent,C
AIMS,2023-01-01T03:15:00Z,02M08,STIC,HS,20946496,0,-3.3161111109999997,20220721-20230116,0,0,excellent,C
AIMS,2023-01-01T03:30:00Z,02M08,STIC,HS,20946496,0,-3.4338888889999994,20220721-20230116,0,0,excellent,C
AIMS,2023-01-01T03:45:00Z,02M08,STIC,HS,20946496,0,-3.4338888889999994,20220721-20230116,0,0,excellent,C
AIMS,2023-01-01T04:00:00Z,02M08,STIC,HS,20946496,0,-3.197222222,20220721-20230116,0,0,excellent,C
