project,datetime,siteId,rType,sublocation,SN,condUncal,tempC,rep,SpC,wetdry,qual_rating,QAQC
AIMS,2023-01-19T23:00:00Z,04M01,STIC,SW,20946489,38578,3.049,20230119-20231016,227.55199828088323,1,fair,NA
AIMS,2023-01-19T23:15:00Z,04M01,STIC,SW,20946489,39955.8,2.8369999999999997,20230119-20231016,238.09546352114498,1,fair,NA
AIMS,2023-01-19T23:30:00Z,04M01,STIC,SW,20946489,44089.2,2.624,20230119-20231016,269.7258592419305,1,fair,NA
AIMS,2023-01-19T23:45:00Z,04M01,STIC,SW,20946489,52355.9,2.517,20230119-20231016,332.9858854443347,1,fair,NA
AIMS,2023-01-20T00:00:00Z,04M01,STIC,SW,20946489,60622.6,2.517,20230119-20231016,396.245911646739,1,fair,NA
AIMS,2023-01-20T00:15:00Z,04M01,STIC,SW,20946489,63378.2,2.517,20230119-20231016,417.33284212726267,1,fair,NA
AIMS,2023-01-20T00:30:00Z,04M01,STIC,SW,20946489,66133.8,2.624,20230119-20231016,438.41977260778634,1,fair,NA
AIMS,2023-01-20T00:45:00Z,04M01,STIC,SW,20946489,66133.8,2.624,20230119-20231016,438.41977260778634,1,fair,NA
AIMS,2023-01-20T01:00:00Z,04M01,STIC,SW,20946489,66133.8,2.624,20230119-20231016,438.41977260778634,1,fair,NA
AIMS,2023-01-20T01:15:00Z,04M01,STIC,SW,20946489,68889.3,2.517,20230119-20231016,459.50593784914327,1,fair,NA
AIMS,2023-01-20T01:30:00Z,04M01,STIC,SW,20946489,68889.3,2.4099999999999997,20230119-20231016,459.50593784914327,1,fair,NA
AIMS,2023-01-20T01:45:00Z,04M01,STIC,SW,20946489,68889.3,2.303,20230119-20231016,459.50593784914327,1,fair,NA
AIMS,2023-01-20T02:00:00Z,04M01,STIC,SW,20946489,68889.3,2.195,20230119-20231016,459.50593784914327,1,fair,NA
AIMS,2023-01-20T02:15:00Z,04M01,STIC,SW,20946489,68889.3,2.088,20230119-20231016,459.50593784914327,1,fair,NA
AIMS,2023-01-20T02:30:00Z,04M01,STIC,SW,20946489,68889.3,1.764,20230119-20231016,459.50593784914327,1,fair,NA
AIMS,2023-01-20T02:45:00Z,04M01,STIC,SW,20946489,68889.3,1.2209999999999999,20230119-20231016,459.50593784914327,1,fair,NA
AIMS,2023-01-20T03:00:00Z,04M01,STIC,SW,20946489,68889.3,0.7839999999999999,20230119-20231016,459.50593784914327,1,fair,NA
AIMS,2023-01-20T03:15:00Z,04M01,STIC,SW,20946489,68889.3,0.453,20230119-20231016,459.50593784914327,1,fair,NA
AIMS,2023-01-20T03:30:00Z,04M01,STIC,SW,20946489,68889.3,0.232,20230119-20231016,459.50593784914327,1,fair,NA
AIMS,2023-01-20T03:45:00Z,04M01,STIC,SW,20946489,68889.3,0.01,20230119-20231016,459.50593784914327,1,fair,NA
AIMS,2023-01-20T04:00:00Z,04M01,STIC,SW,20946489,68889.3,-0.10200000000000001,20230119-20231016,459.50593784914327,1,fair,NA
AIMS,2023-01-20T04:15:00Z,04M01,STIC,SW,20946489,68889.3,-0.325,20230119-20231016,459.50593784914327,1,fair,NA
AIMS,2023-01-20T04:30:00Z,04M01,STIC,SW,20946489,68889.3,-0.549,20230119-20231016,459.50593784914327,1,fair,NA
AIMS,2023-01-20T04:45:00Z,04M01,STIC,SW,20946489,68889.3,-0.6619999999999999,20230119-20231016,459.50593784914327,1,fair,NA
AIMS,2023-01-20T05:00:00Z,04M01,STIC,SW,20946489,66133.8,-0.774,20230119-20231016,438.41977260778634,1,fair,NA
AIMS,2023-01-20T05:15:00Z,04M01,STIC,SW,20946489,66133.8,-0.887,20230119-20231016,438.41977260778634,1,fair,NA
AIMS,2023-01-20T05:30:00Z,04M01,STIC,SW,20946489,66133.8,-1.001,20230119-20231016,438.41977260778634,1,fair,NA
AIMS,2023-01-20T05:45:00Z,04M01,STIC,SW,20946489,66133.8,-1.114,20230119-20231016,438.41977260778634,1,fair,NA
AIMS,2023-01-20T06:00:00Z,04M01,STIC,SW,20946489,66133.8,-1.228,20230119-20231016,438.41977260778634,1,fair,NA
AIMS,2023-01-20T06:15:00Z,04M01,STIC,SW,20946489,66133.8,-1.228,20230119-20231016,438.41977260778634,1,fair,NA
AIMS,2023-01-20T06:30:00Z,04M01,STIC,SW,20946489,66133.8,-1.228,20230119-20231016,438.41977260778634,1,fair,NA
AIMS,2023-01-20T06:45:00Z,04M01,STIC,SW,20946489,66133.8,-1.228,20230119-20231016,438.41977260778634,1,fair,NA
AIMS,2023-01-20T07:00:00Z,04M01,STIC,SW,20946489,66133.8,-1.341,20230119-20231016,438.41977260778634,1,fair,NA
AIMS,2023-01-20T07:15:00Z,04M01,STIC,SW,20946489,66133.8,-1.341,20230119-20231016,438.41977260778634,1,fair,NA
AIMS,2023-01-20T07:30:00Z,04M01,STIC,SW,20946489,66133.8,-1.341,20230119-20231016,438.41977260778634,1,fair,NA
AIMS,2023-01-20T07:45:00Z,04M01,STIC,SW,20946489,66133.8,-1.228,20230119-20231016,438.41977260778634,1,fair,NA
AIMS,2023-01-20T08:00:00Z,04M01,STIC,SW,20946489,66133.8,-1.228,20230119-20231016,438.41977260778634,1,fair,NA
AIMS,2023-01-20T08:15:00Z,04M01,STIC,SW,20946489,66133.8,-1.341,20230119-20231016,438.41977260778634,1,fair,NA
