project,datetime,siteId,rType,sublocation,SN,condUncal,tempC,rep,SpC,wetdry,qual_rating,QAQC
AIMS,2023-01-01T00:00:00Z,04T01,STIC,HS,21064678,107.6391042,0.6738888889999999,20220722-20230116,0,0,excellent,C
AIMS,2023-01-01T00:15:00Z,04T01,STIC,HS,21064678,107.6391042,0.232222222,20220722-20230116,0,0,excellent,C
AIMS,2023-01-01T00:30:00Z,04T01,STIC,HS,21064678,107.6391042,-0.10222222200000003,20220722-20230116,0,0,excellent,C
AIMS,2023-01-01T00:45:00Z,04T01,STIC,HS,21064678,107.6391042,-0.212777778,20220722-20230116,0,0,excellent,C
AIMS,2023-01-01T01:00:00Z,04T01,STIC,HS,21064678,107.6391042,-0.43722222200000005,20220722-20230116,0,0,excellent,C
AIMS,2023-01-01T01:15:00Z,04T01,STIC,HS,21064678,107.6391042,-0.6622222219999999,20220722-20230116,0,0,excellent,C
AIMS,2023-01-01T01:30:00Z,04T01,STIC,HS,21064678,107.6391042,-0.773888889,20220722-20230116,0,0,excellent,C
AIMS,2023-01-01T01:45:00Z,04T01,STIC,HS,21064678,107.6391042,-1.001111111,20220722-20230116,0,0,excellent,C
AIMS,2023-01-01T02:00:00Z,04T01,STIC,HS,21064678,107.6391042,-1.113888889,20220722-20230116,0,0,excellent,C
AIMS,2023-01-01T02:15:00Z,04T01,STIC,HS,21064678,107.6391042,-1.2277777779999999,20220722-20230116,0,0,excellent,C
AIMS,2023-01-01T02:30:00Z,04T01,STIC,HS,21064678,107.6391042,-1.341111111,20220722-20230116,0,0,excellent,C
AIMS,2023-01-01T02:45:00Z,04T01,STIC,HS,21064678,107.6391042,-1.341111111,20220722-20230116,0,0,excellent,C
AIMS,2023-01-01T03:00:00Z,04T01,STIC,HS,21064678,107.6391042,-1.456111111,20220722-20230116,0,0,excellent,C
AIMS,2023-01-01T03:15:00Z,04T01,STIC,HS,21064678,107.6391042,-1.6838888890000001,20220722-20230116,0,0,excellent,C
AIMS,2023-01-01T03:30:00Z,04T01,STIC,HS,21064678,107.6391042,-1.6838888890000001,20220722-20230116,0,0,excellent,C
AIMS,2023-01-01T03:45:00Z,04T01,STIC,HS,21064678,107.6391042,-1.798888889,20220722-20230116,0,0,excellent,C
AIMS,2023-01-01T04:00:00Z,04T01,STIC,HS,21064678,107.6391042,-1.6838888890000001,20220722-20230116,0,0,excellent,C
AIMS,2023-01-01T04:15:00Z,04T01,STIC,HS,21064678,107.6391042,-1.57,20220722-20230116,0,0,excellent,C
AIMS,2023-01-01T04:30:00Z,04T01,STIC,HS,21064678,107.6391042,-1.57,20220722-20230116,0,0,excellent,C
AIMS,2023-01-01T04:45:00Z,04T01,STIC,HS,21064678,107.6391042,-1.341111111,20220722-20230116,0,0,excellent,C
AIMS,2023-01-01T05:00:00Z,04T01,STIC,HS,21064678,107.6391042,-1.456111111,20220722-20230116,0,0,excellent,C
AIMS,2023-01-01T05:15:00Z,04T01,STIC,HS,21064678,107.6391042,-1.456111111,20220722-20230116,0,0,excellent,C
AIMS,2023-01-01T05:30:00Z,04T01,STIC,HS,21064678,107.6391042,-1.57,20220722-20230116,0,0,excellent,C
AIMS,2023-01-01T05:45:00Z,04T01,STIC,HS,21064678,107.6391042,-1.6838888890000001,20220722-20230116,0,0,excellent,C
AIMS,2023-01-01T06:00:00Z,04T01,STIC,HS,21064678,107.6391042,-1.6838888890000001,20220722-20230116,0,0,excellent,C
AIMS,2023-01-01T06:15:00Z,04T01,STIC,HS,21064678,118.40301460000002,-1.6838888890000001,20220722-20230116,0,0,excellent,C
AIMS,2023-01-01T06:30:00Z,04T01,STIC,HS,21064678,107.6391042,-1.6838888890000001,20220722-20230116,0,0,excellent,C
AIMS,2023-01-01T06:45:00Z,04T01,STIC,HS,21064678,107.6391042,-1.6838888890000001,20220722-20230116,0,0,excellent,C
AIMS,2023-01-01T07:00:00Z,04T01,STIC,HS,21064678,86.11128333,-1.57,20220722-20230116,0,0,excellent,C
AIMS,2023-01-01T07:15:00Z,04T01,STIC,HS,21064678,86.11128333,-1.456111111,20220722-20230116,0,0,excellent,C
AIMS,2023-01-01T07:30:00Z,04T01,STIC,HS,21064678,86.11128333,-1.456111111,20220722-20230116,0,0,excellent,C
AIMS,2023-01-01T07:45:00Z,04T01,STIC,HS,21064678,86.11128333,-1.341111111,20220722-20230116,0,0,excellent,C
AIMS,2023-01-01T08:00:00Z,04T01,STIC,HS,21064678,86.11128333,-1.341111111,20220722-20230116,0,0,excellent,C
AIMS,2023-01-01T08:15:00Z,04T01,STIC,HS,21064678,86.11128333,-1.2277777779999999,20220722-20230116,0,0,excellent,C
AIMS,2023-01-01T08:30:00Z,04T01,STIC,HS,21064678,86.11128333,-1.001111111,20220722-20230116,0,0,excellent,C
AIMS,2023-01-01T08:45:00Z,04T01,STIC,HS,21064678,96.87519375,-0.887222222,20220722-20230116,0,0,excellent,C
AIMS,2023-01-01T09:00:00Z,04T01,STIC,HS,21064678,96.87519375,-0.887222222,20220722-20230116,0,0,excellent,C
AIMS,2023-01-01T09:15:00Z,04T01,STIC,HS,21064678,96.87519375,-1.001111111,20220722-20230116,0,0,excellent,C
AIMS,2023-01-01T09:30:00Z,04T01,STIC,HS,21064678,86.11128333,-1.2277777779999999,20220722-20230116,0,0,excellent,C
AIMS,2023-01-01T09:45:00Z,04T01,STIC,HS,21064678,86.11128333,-1.57,20220722-20230116,0,0,excellent,C
