project,siteId,datetime,rType,rep,sublocation,SN,condUncal,tempC,SpC,wetdry,qual_rating,QAQC,year
AIMS,JDR01,2023-04-06T02:45:00Z,STIC,20230101-20231231,SW,21044180,13089,7.079,39.88472533,1,excellent,NA,2023
AIMS,JDR01,2023-04-06T03:00:00Z,STIC,20230101-20231231,SW,21044180,13089,1.98,39.88472533,1,excellent,NA,2023
AIMS,JDR01,2023-04-06T03:15:00Z,STIC,20230101-20231231,SW,21044180,13089,0.893,39.88472533,1,excellent,NA,2023
AIMS,JDR01,2023-04-06T03:30:00Z,STIC,20230101-20231231,SW,21044180,13089,0.674,39.88472533,1,excellent,NA,2023
AIMS,JDR01,2023-04-06T03:45:00Z,STIC,20230101-20231231,SW,21044180,13089,0.784,39.88472533,1,excellent,NA,2023
AIMS,JDR01,2023-04-06T04:00:00Z,STIC,20230101-20231231,SW,21044180,13089,1.003,39.88472533,1,excellent,NA,2023
AIMS,JDR01,2023-04-06T04:15:00Z,STIC,20230101-20231231,SW,21044180,13089,1.33,39.88472533,1,excellent,NA,2023
AIMS,JDR01,2023-04-06T04:30:00Z,STIC,20230101-20231231,SW,21044180,13089,1.764,39.88472533,1,excellent,NA,2023
AIMS,JDR01,2023-04-06T04:45:00Z,STIC,20230101-20231231,SW,21044180,13777.9,2.195,43.07348494,1,excellent,NA,2023
AIMS,JDR01,2023-04-06T05:00:00Z,STIC,20230101-20231231,SW,21044180,13777.9,2.303,43.07348494,1,excellent,NA,2023
AIMS,JDR01,2023-04-06T05:15:00Z,STIC,20230101-20231231,SW,21044180,13777.9,2.73,43.07348494,1,excellent,NA,2023
AIMS,JDR01,2023-04-06T05:30:00Z,STIC,20230101-20231231,SW,21044180,13777.9,3.155,43.07348494,1,excellent,NA,2023
AIMS,JDR01,2023-04-06T05:45:00Z,STIC,20230101-20231231,SW,21044180,13777.9,3.472,43.07348494,1,excellent,NA,2023
AIMS,JDR01,2023-04-06T06:00:00Z,STIC,20230101-20231231,SW,21044180,13777.9,3.578,43.07348494,1,excellent,NA,2023
AIMS,JDR01,2023-04-06T06:15:00Z,STIC,20230101-20231231,SW,21044180,14466.8,3.893,46.26224455,1,excellent,NA,2023
AIMS,JDR01,2023-04-06T06:30:00Z,STIC,20230101-20231231,SW,21044180,14466.8,3.893,46.26224455,1,excellent,NA,2023
AIMS,JDR01,2023-04-06T06:45:00Z,STIC,20230101-20231231,SW,21044180,14466.8,3.788,46.26224455,1,excellent,NA,2023
AIMS,JDR01,2023-04-06T07:00:00Z,STIC,20230101-20231231,SW,21044180,14466.8,3.893,46.26224455,1,excellent,NA,2023
AIMS,JDR01,2023-04-06T07:15:00Z,STIC,20230101-20231231,SW,21044180,14466.8,3.893,46.26224455,1,excellent,NA,2023
AIMS,JDR01,2023-04-06T07:30:00Z,STIC,20230101-20231231,SW,21044180,14466.8,3.893,46.26224455,1,excellent,NA,2023
AIMS,JDR01,2023-04-06T07:45:00Z,STIC,20230101-20231231,SW,21044180,14466.8,4.102,46.26224455,1,excellent,NA,2023
AIMS,JDR01,2023-04-06T08:00:00Z,STIC,20230101-20231231,SW,21044180,14466.8,4.207,46.26224455,1,excellent,NA,2023
AIMS,JDR01,2023-04-06T08:15:00Z,STIC,20230101-20231231,SW,21044180,14466.8,4.415,46.26224455,1,excellent,NA,2023
