project,datetime,siteId,rType,rep,sublocation,SN,condUncal,tempC,SpC,wetdry,qual_rating,QAQC,year
AIMS,2023-05-09T06:30:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4650,NA,4.42371219,1,excellent,NA,2023
AIMS,2023-05-09T09:30:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4650,4.727,4.42371219,1,excellent,NA,2023
AIMS,2023-05-09T13:00:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4650,4.727,4.42371219,1,excellent,NA,2023
AIMS,2023-05-09T06:45:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4650,4.934,4.42371219,1,excellent,NA,2023
AIMS,2023-05-09T06:15:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4650,NA,4.42371219,1,excellent,NA,2023
AIMS,2023-05-09T07:15:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4650,4.831,4.42371219,1,excellent,NA,2023
AIMS,2023-05-09T07:30:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4477.8,4.831,2.912833861,1,excellent,NA,2023
AIMS,2023-05-09T14:15:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4650,4.727,4.42371219,1,excellent,NA,2023
AIMS,2023-05-09T07:00:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4650,4.831,4.42371219,1,excellent,NA,2023
AIMS,2023-05-09T14:45:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.727,5.935467916,1,excellent,NA,2023
AIMS,2023-05-09T15:00:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.727,5.935467916,1,excellent,NA,2023
AIMS,2023-05-09T15:15:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.727,5.935467916,1,excellent,NA,2023
AIMS,2023-05-09T15:30:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.727,5.935467916,1,excellent,NA,2023
AIMS,2023-05-09T15:45:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.727,5.935467916,1,excellent,NA,2023
AIMS,2023-05-09T16:00:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.727,5.935467916,1,excellent,NA,2023
AIMS,2023-05-09T16:15:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.727,5.935467916,1,excellent,NA,2023
AIMS,2023-05-09T16:30:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.727,5.935467916,1,excellent,NA,2023
AIMS,2023-05-09T16:45:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.727,5.935467916,1,excellent,NA,2023
AIMS,2023-05-09T17:00:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.727,5.935467916,1,excellent,NA,2023
AIMS,2023-05-09T17:15:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.727,5.935467916,1,excellent,NA,2023
AIMS,2023-05-09T17:30:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.727,5.935467916,1,excellent,NA,2023
AIMS,2023-05-09T07:45:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4477.8,4.727,2.912833861,1,excellent,NA,2023
AIMS,2023-05-09T08:00:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4477.8,4.727,2.912833861,1,excellent,NA,2023
AIMS,2023-05-09T08:15:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4477.8,4.727,2.912833861,1,excellent,NA,2023
AIMS,2023-05-09T08:30:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4477.8,4.727,2.912833861,1,excellent,NA,2023
AIMS,2023-05-09T08:45:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4650,4.727,4.42371219,1,excellent,NA,2023
AIMS,2023-05-09T09:00:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4650,4.727,4.42371219,1,excellent,NA,2023
AIMS,2023-05-09T09:15:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4650,4.727,4.42371219,1,excellent,NA,2023
AIMS,2023-05-09T19:30:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.727,5.935467916,1,excellent,NA,2023
AIMS,2023-05-09T09:45:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4650,4.727,4.42371219,1,excellent,NA,2023
AIMS,2023-05-09T10:00:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4650,4.727,4.42371219,1,excellent,NA,2023
AIMS,2023-05-09T10:15:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4650,4.727,4.42371219,1,excellent,NA,2023
AIMS,2023-05-09T10:30:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4650,4.727,4.42371219,1,excellent,NA,2023
AIMS,2023-05-09T10:45:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4650,4.727,4.42371219,1,excellent,NA,2023
AIMS,2023-05-09T11:00:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4650,4.727,4.42371219,1,excellent,NA,2023
AIMS,2023-05-09T11:15:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4650,4.727,4.42371219,1,excellent,NA,2023
AIMS,2023-05-09T11:30:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4650,4.727,4.42371219,1,excellent,NA,2023
AIMS,2023-05-09T11:45:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4650,4.623,4.42371219,1,excellent,NA,2023
AIMS,2023-05-09T12:00:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4650,4.727,4.42371219,1,excellent,NA,2023
AIMS,2023-05-09T12:15:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4650,4.727,4.42371219,1,excellent,NA,2023
AIMS,2023-05-09T12:30:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4650,4.727,4.42371219,1,excellent,NA,2023
AIMS,2023-05-09T12:45:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4650,4.623,4.42371219,1,excellent,NA,2023
AIMS,2023-05-09T23:00:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.727,5.935467916,1,excellent,NA,2023
AIMS,2023-05-09T13:15:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4650,4.727,4.42371219,1,excellent,NA,2023
AIMS,2023-05-09T13:30:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4650,4.727,4.42371219,1,excellent,NA,2023
AIMS,2023-05-09T13:45:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4650,4.727,4.42371219,1,excellent,NA,2023
AIMS,2023-05-09T14:00:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4650,4.727,4.42371219,1,excellent,NA,2023
AIMS,2023-05-10T00:15:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.727,5.935467916,1,excellent,NA,2023
AIMS,2023-05-09T14:30:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.727,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T00:45:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.727,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T01:00:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.727,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T01:15:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.727,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T01:30:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.727,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T01:45:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T02:00:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.727,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T02:15:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T02:30:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T02:45:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T03:00:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T03:15:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T03:30:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T03:45:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T04:00:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T04:15:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T04:30:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T04:45:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T05:00:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T05:15:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T05:30:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T05:45:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T06:00:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T06:15:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4650,4.831,4.42371219,1,excellent,NA,2023
AIMS,2023-05-10T06:30:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4650,4.831,4.42371219,1,excellent,NA,2023
AIMS,2023-05-10T06:45:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4650,4.934,4.42371219,1,excellent,NA,2023
AIMS,2023-05-10T07:00:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4650,4.831,4.42371219,1,excellent,NA,2023
AIMS,2023-05-10T07:15:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4650,4.934,4.42371219,1,excellent,NA,2023
AIMS,2023-05-10T07:30:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.934,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T07:45:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.934,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T08:00:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T08:15:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T08:30:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T08:45:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T09:00:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T09:15:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T09:30:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T09:45:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T10:00:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T10:15:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T10:30:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T10:45:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T11:00:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T11:15:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T11:30:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T11:45:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T12:00:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T12:15:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T12:30:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T12:45:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T13:00:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T13:15:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T13:30:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T13:45:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T14:00:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T14:15:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T14:30:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T14:45:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T15:00:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T15:15:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T15:30:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T15:45:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T16:00:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T16:15:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T16:30:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T16:45:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T17:00:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T17:15:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T17:30:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T17:45:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T18:00:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T18:15:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T18:30:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T18:45:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T19:00:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
AIMS,2023-05-10T19:15:00Z,GBJ60,STIC,20230509-20231231,SW,21359647,4822.3,4.831,5.935467916,1,excellent,NA,2023
