project,datetime,siteId,rType,rep,sublocation,SN,condUncal,tempC,SpC,wetdry,qual_rating,QAQC,year
AIMS,2024-01-01T00:00:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5166.7,0.232,0,1,good,C,2024
AIMS,2024-01-01T00:15:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5166.7,0.232,0,1,good,C,2024
AIMS,2024-01-01T00:30:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5166.7,0.232,0,1,good,C,2024
AIMS,2024-01-01T00:45:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5166.7,0.232,0,1,good,C,2024
AIMS,2024-01-01T01:00:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5166.7,0.232,0,1,good,C,2024
AIMS,2024-01-01T01:15:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5166.7,0.232,0,1,good,C,2024
AIMS,2024-01-01T01:30:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5166.7,0.232,0,1,good,C,2024
AIMS,2024-01-01T01:45:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5166.7,0.232,0,1,good,C,2024
AIMS,2024-01-01T02:00:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5166.7,0.232,0,1,good,C,2024
AIMS,2024-01-01T02:15:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5166.7,0.232,0,1,good,C,2024
AIMS,2024-01-01T02:30:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5166.7,0.343,0,1,good,C,2024
AIMS,2024-01-01T02:45:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5166.7,0.453,0,1,good,C,2024
AIMS,2024-01-01T03:00:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5166.7,0.674,0,1,good,C,2024
AIMS,2024-01-01T03:15:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5166.7,0.784,0,1,good,C,2024
AIMS,2024-01-01T03:30:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5166.7,1.003,0,1,good,C,2024
AIMS,2024-01-01T03:45:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5166.7,1.221,0,1,good,C,2024
AIMS,2024-01-01T04:00:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5338.9,1.439,0,1,good,C,2024
AIMS,2024-01-01T04:15:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5338.9,1.656,0,1,good,C,2024
AIMS,2024-01-01T04:30:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5338.9,1.872,0,1,good,C,2024
AIMS,2024-01-01T04:45:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5338.9,2.088,0,1,good,C,2024
AIMS,2024-01-01T05:00:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5338.9,2.195,0,1,good,C,2024
AIMS,2024-01-01T05:15:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5338.9,2.303,0,1,good,C,2024
AIMS,2024-01-01T05:30:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5338.9,2.517,0,1,good,C,2024
AIMS,2024-01-01T05:45:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5338.9,2.624,0,1,good,C,2024
AIMS,2024-01-01T06:00:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5338.9,2.73,0,1,good,C,2024
AIMS,2024-01-01T06:15:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5338.9,2.837,0,1,good,C,2024
AIMS,2024-01-01T06:30:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5338.9,2.837,0,1,good,C,2024
AIMS,2024-01-01T06:45:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5338.9,2.837,0,1,good,C,2024
AIMS,2024-01-01T07:00:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5338.9,2.73,0,1,good,C,2024
AIMS,2024-01-01T07:15:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5338.9,2.73,0,1,good,C,2024
AIMS,2024-01-01T07:30:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5338.9,2.73,0,1,good,C,2024
AIMS,2024-01-01T07:45:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5338.9,2.73,0,1,good,C,2024
AIMS,2024-01-01T08:00:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5338.9,2.73,0,1,good,C,2024
AIMS,2024-01-01T08:15:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5338.9,2.73,0,1,good,C,2024
AIMS,2024-01-01T08:30:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5338.9,2.73,0,1,good,C,2024
AIMS,2024-01-01T08:45:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5338.9,2.624,0,1,good,C,2024
AIMS,2024-01-01T09:00:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5338.9,2.624,0,1,good,C,2024
AIMS,2024-01-01T09:15:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5338.9,2.517,0,1,good,C,2024
AIMS,2024-01-01T09:30:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5338.9,2.41,0,1,good,C,2024
AIMS,2024-01-01T09:45:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5338.9,2.303,0,1,good,C,2024
AIMS,2024-01-01T10:00:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5338.9,2.195,0,1,good,C,2024
AIMS,2024-01-01T10:15:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5338.9,2.195,0,1,good,C,2024
AIMS,2024-01-01T10:30:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5338.9,2.088,0,1,good,C,2024
AIMS,2024-01-01T10:45:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5338.9,1.98,0,1,good,C,2024
AIMS,2024-01-01T11:00:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5338.9,1.872,0,1,good,C,2024
AIMS,2024-01-01T11:15:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5338.9,1.872,0,1,good,C,2024
AIMS,2024-01-01T11:30:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5338.9,1.764,0,1,good,C,2024
AIMS,2024-01-01T11:45:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5338.9,1.656,0,1,good,C,2024
AIMS,2024-01-01T12:00:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5338.9,1.656,0,1,good,C,2024
AIMS,2024-01-01T12:15:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5338.9,1.548,0,1,good,C,2024
AIMS,2024-01-01T12:30:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5338.9,1.548,0,1,good,C,2024
AIMS,2024-01-01T12:45:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5166.7,1.439,0,1,good,C,2024
AIMS,2024-01-01T13:00:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5166.7,1.439,0,1,good,C,2024
AIMS,2024-01-01T13:15:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5166.7,1.33,0,1,good,C,2024
AIMS,2024-01-01T13:30:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5166.7,1.33,0,1,good,C,2024
AIMS,2024-01-01T13:45:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5166.7,1.33,0,1,good,C,2024
AIMS,2024-01-01T14:00:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5166.7,1.221,0,1,good,C,2024
AIMS,2024-01-01T14:15:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5166.7,1.221,0,1,good,C,2024
AIMS,2024-01-01T14:30:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5166.7,1.112,0,1,good,C,2024
AIMS,2024-01-01T14:45:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5166.7,1.112,0,1,good,C,2024
AIMS,2024-01-01T15:00:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5166.7,1.112,0,1,good,C,2024
AIMS,2024-01-01T15:15:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5166.7,1.003,0,1,good,C,2024
AIMS,2024-01-01T15:30:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5166.7,1.003,0,1,good,C,2024
AIMS,2024-01-01T15:45:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5166.7,0.893,0,1,good,C,2024
AIMS,2024-01-01T16:00:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5166.7,0.893,0,1,good,C,2024
AIMS,2024-01-01T16:15:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5166.7,0.893,0,1,good,C,2024
AIMS,2024-01-01T16:30:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5166.7,0.784,0,1,good,C,2024
AIMS,2024-01-01T16:45:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5166.7,0.784,0,1,good,C,2024
AIMS,2024-01-01T17:00:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5166.7,0.784,0,1,good,C,2024
AIMS,2024-01-01T17:15:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5166.7,0.674,0,1,good,C,2024
AIMS,2024-01-01T17:30:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5166.7,0.674,0,1,good,C,2024
AIMS,2024-01-01T17:45:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5166.7,0.674,0,1,good,C,2024
AIMS,2024-01-01T18:00:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5166.7,0.674,0,1,good,C,2024
AIMS,2024-01-01T18:15:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5166.7,0.563,0,1,good,C,2024
AIMS,2024-01-01T18:30:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5166.7,0.563,0,1,good,C,2024
AIMS,2024-01-01T18:45:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5166.7,0.563,0,1,good,C,2024
AIMS,2024-01-01T19:00:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5166.7,0.453,0,1,good,C,2024
AIMS,2024-01-01T19:15:00Z,STIC10,STIC,20240101-20241002,SW,21035955,5166.7,0.453,0,1,good,C,2024
