project,datetime,siteId,rType,sublocation,SN,condUncal,tempC,rep,SpC,wetdry,qual_rating,QAQC
AIMS,2022-08-03T18:15:00Z,EN204,STIC,LS,21035971,0,45.201,20220803-20221002,0,0,poor,C
AIMS,2022-08-03T18:30:00Z,EN204,STIC,LS,21035971,0,45.955999999999996,20220803-20221002,0,0,poor,C
AIMS,2022-08-03T18:45:00Z,EN204,STIC,LS,21035971,0,46.083,20220803-20221002,0,0,poor,C
AIMS,2022-08-03T19:00:00Z,EN204,STIC,LS,21035971,0,45.955999999999996,20220803-20221002,0,0,poor,C
AIMS,2022-08-03T19:15:00Z,EN204,STIC,LS,21035971,0,47.109,20220803-20221002,0,0,poor,C
AIMS,2022-08-03T19:30:00Z,EN204,STIC,LS,21035971,0,46.465,20220803-20221002,0,0,poor,C
AIMS,2022-08-03T19:45:00Z,EN204,STIC,LS,21035971,0,46.593,20220803-20221002,0,0,poor,C
AIMS,2022-08-03T20:00:00Z,EN204,STIC,LS,21035971,0,46.72200000000001,20220803-20221002,0,0,poor,C
AIMS,2022-08-03T20:15:00Z,EN204,STIC,LS,21035971,0,45.829,20220803-20221002,0,0,poor,C
AIMS,2022-08-03T20:30:00Z,EN204,STIC,LS,21035971,0,43.23800000000001,20220803-20221002,0,0,poor,C
AIMS,2022-08-03T20:45:00Z,EN204,STIC,LS,21035971,0,41.108000000000004,20220803-20221002,0,0,poor,C
AIMS,2022-08-03T21:00:00Z,EN204,STIC,LS,21035971,0,40.876,20220803-20221002,0,0,poor,C
AIMS,2022-08-03T21:15:00Z,EN204,STIC,LS,21035971,0,41.809999999999995,20220803-20221002,0,0,poor,C
AIMS,2022-08-03T21:30:00Z,EN204,STIC,LS,21035971,0,41.928000000000004,20220803-20221002,0,0,poor,C
AIMS,2022-08-03T21:45:00Z,EN204,STIC,LS,21035971,0,39.956999999999994,20220803-20221002,0,0,poor,C
AIMS,2022-08-03T22:00:00Z,EN204,STIC,LS,21035971,0,38.714,20220803-20221002,0,0,poor,C
AIMS,2022-08-03T22:15:00Z,EN204,STIC,LS,21035971,0,37.38399999999999,20220803-20221002,0,0,poor,C
AIMS,2022-08-03T22:30:00Z,EN204,STIC,LS,21035971,0,37.935,20220803-20221002,0,0,poor,C
AIMS,2022-08-03T22:45:00Z,EN204,STIC,LS,21035971,0,37.824,20220803-20221002,0,0,poor,C
AIMS,2022-08-03T23:00:00Z,EN204,STIC,LS,21035971,0,37.714,20220803-20221002,0,0,poor,C
AIMS,2022-08-03T23:15:00Z,EN204,STIC,LS,21035971,0,36.946,20220803-20221002,0,0,poor,C
AIMS,2022-08-03T23:30:00Z,EN204,STIC,LS,21035971,0,35.756,20220803-20221002,0,0,poor,C
AIMS,2022-08-03T23:45:00Z,EN204,STIC,LS,21035971,0,35.115,20220803-20221002,0,0,poor,C
AIMS,2022-08-04T00:00:00Z,EN204,STIC,LS,21035971,0,34.585,20220803-20221002,0,0,poor,C
AIMS,2022-08-04T00:15:00Z,EN204,STIC,LS,21035971,0,34.163000000000004,20220803-20221002,0,0,poor,C
AIMS,2022-08-04T00:30:00Z,EN204,STIC,LS,21035971,0,34.26800000000001,20220803-20221002,0,0,poor,C
AIMS,2022-08-04T00:45:00Z,EN204,STIC,LS,21035971,0,34.79600000000001,20220803-20221002,0,0,poor,C
AIMS,2022-08-04T01:00:00Z,EN204,STIC,LS,21035971,0,34.585,20220803-20221002,0,0,poor,C
AIMS,2022-08-04T01:15:00Z,EN204,STIC,LS,21035971,10.8,33.952999999999996,20220803-20221002,0,0,poor,C
AIMS,2022-08-04T01:30:00Z,EN204,STIC,LS,21035971,10.8,33.118,20220803-20221002,0,0,poor,C
AIMS,2022-08-04T01:45:00Z,EN204,STIC,LS,21035971,10.8,32.188,20220803-20221002,0,0,poor,C
AIMS,2022-08-04T02:00:00Z,EN204,STIC,LS,21035971,10.8,31.471999999999998,20220803-20221002,0,0,poor,C
AIMS,2022-08-04T02:15:00Z,EN204,STIC,LS,21035971,10.8,30.862,20220803-20221002,0,0,poor,C
AIMS,2022-08-04T02:30:00Z,EN204,STIC,LS,21035971,21.5,30.457,20220803-20221002,0,0,poor,C
AIMS,2022-08-04T02:45:00Z,EN204,STIC,LS,21035971,21.5,30.054000000000002,20220803-20221002,0,0,poor,C
AIMS,2022-08-04T03:00:00Z,EN204,STIC,LS,21035971,21.5,29.953,20220803-20221002,0,0,poor,C
AIMS,2022-08-04T03:15:00Z,EN204,STIC,LS,21035971,21.5,29.953,20220803-20221002,0,0,poor,C
AIMS,2022-08-04T03:30:00Z,EN204,STIC,LS,21035971,21.5,29.853,20220803-20221002,0,0,poor,C
AIMS,2022-08-04T03:45:00Z,EN204,STIC,LS,21035971,21.5,29.853,20220803-20221002,0,0,poor,C
