project,datetime,siteId,rType,sublocation,SN,condUncal,tempC,rep,SpC,wetdry,qual_rating,QAQC
AIMS,2021-07-16T22:00:00Z,EN401,STIC,HS,20946456,110223,29.652,20210716-20220209,1127.0794319999998,1,excellent,O
AIMS,2021-07-16T22:15:00Z,EN401,STIC,HS,20946456,104711.8,29.953,20210716-20220209,1068.0051570000003,1,excellent,O
AIMS,2021-07-16T22:30:00Z,EN401,STIC,HS,20946456,104711.8,29.853,20210716-20220209,1068.0051570000003,1,excellent,O
AIMS,2021-07-16T22:45:00Z,EN401,STIC,HS,20946456,104711.8,29.752,20210716-20220209,1068.0051570000003,1,excellent,O
AIMS,2021-07-16T23:00:00Z,EN401,STIC,HS,20946456,104711.8,29.652,20210716-20220209,1068.0051570000003,1,excellent,O
AIMS,2021-07-16T23:15:00Z,EN401,STIC,HS,20946456,104711.8,29.352,20210716-20220209,1068.0051570000003,1,excellent,O
AIMS,2021-07-16T23:30:00Z,EN401,STIC,HS,20946456,104711.8,29.252,20210716-20220209,1068.0051570000003,1,excellent,O
AIMS,2021-07-16T23:45:00Z,EN401,STIC,HS,20946456,99200.7,28.953,20210716-20220209,1008.9319539999999,1,excellent,O
AIMS,2021-07-17T00:00:00Z,EN401,STIC,HS,20946456,99200.7,28.754,20210716-20220209,1008.9319539999999,1,excellent,O
AIMS,2021-07-17T00:15:00Z,EN401,STIC,HS,20946456,99200.7,28.555,20210716-20220209,1008.9319539999999,1,excellent,O
AIMS,2021-07-17T00:30:00Z,EN401,STIC,HS,20946456,104711.8,28.357000000000003,20210716-20220209,1068.0051570000003,1,excellent,O
AIMS,2021-07-17T00:45:00Z,EN401,STIC,HS,20946456,104711.8,28.06,20210716-20220209,1068.0051570000003,1,excellent,O
AIMS,2021-07-17T01:00:00Z,EN401,STIC,HS,20946456,104711.8,27.764,20210716-20220209,1068.0051570000003,1,excellent,O
AIMS,2021-07-17T01:15:00Z,EN401,STIC,HS,20946456,104711.8,27.467999999999996,20210716-20220209,1068.0051570000003,1,excellent,O
AIMS,2021-07-17T01:30:00Z,EN401,STIC,HS,20946456,104711.8,27.272,20210716-20220209,1068.0051570000003,1,excellent,O
AIMS,2021-07-17T01:45:00Z,EN401,STIC,HS,20946456,99200.7,27.075,20210716-20220209,1008.9319539999999,1,excellent,O
AIMS,2021-07-17T02:00:00Z,EN401,STIC,HS,20946456,99200.7,26.781,20210716-20220209,1008.9319539999999,1,excellent,O
AIMS,2021-07-17T02:15:00Z,EN401,STIC,HS,20946456,99200.7,26.584999999999997,20210716-20220209,1008.9319539999999,1,excellent,O
AIMS,2021-07-17T02:30:00Z,EN401,STIC,HS,20946456,99200.7,26.39,20210716-20220209,1008.9319539999999,1,excellent,O
AIMS,2021-07-17T02:45:00Z,EN401,STIC,HS,20946456,99200.7,26.195,20210716-20220209,1008.9319539999999,1,excellent,O
AIMS,2021-07-17T03:00:00Z,EN401,STIC,HS,20946456,99200.7,26,20210716-20220209,1008.9319539999999,1,excellent,O
AIMS,2021-07-17T03:15:00Z,EN401,STIC,HS,20946456,99200.7,25.805,20210716-20220209,1008.9319539999999,1,excellent,O
AIMS,2021-07-17T03:30:00Z,EN401,STIC,HS,20946456,99200.7,25.610000000000003,20210716-20220209,1008.9319539999999,1,excellent,O
AIMS,2021-07-17T03:45:00Z,EN401,STIC,HS,20946456,99200.7,25.416,20210716-20220209,1008.9319539999999,1,excellent,O
AIMS,2021-07-17T04:00:00Z,EN401,STIC,HS,20946456,99200.7,25.221999999999998,20210716-20220209,1008.9319539999999,1,excellent,O
AIMS,2021-07-17T04:15:00Z,EN401,STIC,HS,20946456,99200.7,25.125,20210716-20220209,1008.9319539999999,1,excellent,O
AIMS,2021-07-17T04:30:00Z,EN401,STIC,HS,20946456,99200.7,24.931,20210716-20220209,1008.9319539999999,1,excellent,O
AIMS,2021-07-17T04:45:00Z,EN401,STIC,HS,20946456,99200.7,24.835,20210716-20220209,1008.9319539999999,1,excellent,O
AIMS,2021-07-17T05:00:00Z,EN401,STIC,HS,20946456,99200.7,24.738,20210716-20220209,1008.9319539999999,1,excellent,O
AIMS,2021-07-17T05:15:00Z,EN401,STIC,HS,20946456,99200.7,24.544999999999998,20210716-20220209,1008.9319539999999,1,excellent,O
AIMS,2021-07-17T05:30:00Z,EN401,STIC,HS,20946456,99200.7,24.447999999999997,20210716-20220209,1008.9319539999999,1,excellent,O
