project,datetime,siteId,rType,sublocation,SN,condUncal,tempC,rep,SpC,wetdry,qual_rating,QAQC
AIMS,2024-01-01T00:00:00Z,ENM01,STIC,HS,21044172,85422.8,5.3469999999999995,20231213-20241009,606.106127137215,1,excellent,NA
AIMS,2024-01-01T00:15:00Z,ENM01,STIC,HS,21044172,85422.8,5.3469999999999995,20231213-20241009,606.106127137215,1,excellent,NA
AIMS,2024-01-01T00:30:00Z,ENM01,STIC,HS,21044172,85422.8,5.3469999999999995,20231213-20241009,606.106127137215,1,excellent,NA
AIMS,2024-01-01T00:45:00Z,ENM01,STIC,HS,21044172,85422.8,5.3469999999999995,20231213-20241009,606.106127137215,1,excellent,NA
AIMS,2024-01-01T01:00:00Z,ENM01,STIC,HS,21044172,85422.8,5.3469999999999995,20231213-20241009,606.106127137215,1,excellent,NA
AIMS,2024-01-01T01:15:00Z,ENM01,STIC,HS,21044172,85422.8,5.3469999999999995,20231213-20241009,606.106127137215,1,excellent,NA
AIMS,2024-01-01T01:30:00Z,ENM01,STIC,HS,21044172,85422.8,5.3469999999999995,20231213-20241009,606.106127137215,1,excellent,NA
AIMS,2024-01-01T01:45:00Z,ENM01,STIC,HS,21044172,85422.8,5.244,20231213-20241009,606.106127137215,1,excellent,NA
AIMS,2024-01-01T02:00:00Z,ENM01,STIC,HS,21044172,85422.8,5.244,20231213-20241009,606.106127137215,1,excellent,NA
AIMS,2024-01-01T02:15:00Z,ENM01,STIC,HS,21044172,85422.8,5.244,20231213-20241009,606.106127137215,1,excellent,NA
AIMS,2024-01-01T02:30:00Z,ENM01,STIC,HS,21044172,85422.8,5.244,20231213-20241009,606.106127137215,1,excellent,NA
AIMS,2024-01-01T02:45:00Z,ENM01,STIC,HS,21044172,85422.8,5.244,20231213-20241009,606.106127137215,1,excellent,NA
AIMS,2024-01-01T03:00:00Z,ENM01,STIC,HS,21044172,85422.8,5.141,20231213-20241009,606.106127137215,1,excellent,NA
AIMS,2024-01-01T03:15:00Z,ENM01,STIC,HS,21044172,85422.8,5.141,20231213-20241009,606.106127137215,1,excellent,NA
AIMS,2024-01-01T03:30:00Z,ENM01,STIC,HS,21044172,85422.8,5.141,20231213-20241009,606.106127137215,1,excellent,NA
AIMS,2024-01-01T03:45:00Z,ENM01,STIC,HS,21044172,85422.8,5.141,20231213-20241009,606.106127137215,1,excellent,NA
AIMS,2024-01-01T04:00:00Z,ENM01,STIC,HS,21044172,85422.8,5.141,20231213-20241009,606.106127137215,1,excellent,NA
