project,datetime,siteId,rType,sublocation,SN,condUncal,tempC,rep,SpC,wetdry,qual_rating,QAQC
AIMS,2021-07-16T22:00:00Z,ENM13,STIC,LS,21038945,139.9,35.435,20210716-20220111,0,0,fair,C
AIMS,2021-07-16T22:15:00Z,ENM13,STIC,LS,21038945,86.1,36.836999999999996,20210716-20220111,0,0,fair,C
AIMS,2021-07-16T22:30:00Z,ENM13,STIC,LS,21038945,96.9,34.373999999999995,20210716-20220111,0,0,fair,C
AIMS,2021-07-16T22:45:00Z,ENM13,STIC,LS,21038945,139.9,33.639,20210716-20220111,0,0,fair,C
AIMS,2021-07-16T23:00:00Z,ENM13,STIC,LS,21038945,118.4,33.952999999999996,20210716-20220111,0,0,fair,C
AIMS,2021-07-16T23:15:00Z,ENM13,STIC,LS,21038945,150.7,32.497,20210716-20220111,0,0,fair,C
AIMS,2021-07-16T23:30:00Z,ENM13,STIC,LS,21038945,150.7,32.188,20210716-20220111,0,0,fair,C
AIMS,2021-07-16T23:45:00Z,ENM13,STIC,LS,21038945,193.8,31.064,20210716-20220111,0,0,fair,C
AIMS,2021-07-17T00:00:00Z,ENM13,STIC,LS,21038945,258.3,30.356,20210716-20220111,0,0,fair,C
AIMS,2021-07-17T00:15:00Z,ENM13,STIC,LS,21038945,355.2,29.451999999999998,20210716-20220111,0,0,fair,C
AIMS,2021-07-17T00:30:00Z,ENM13,STIC,LS,21038945,473.6,28.456,20210716-20220111,0,0,fair,C
AIMS,2021-07-17T00:45:00Z,ENM13,STIC,LS,21038945,667.4,27.467999999999996,20210716-20220111,0,0,fair,C
AIMS,2021-07-17T01:00:00Z,ENM13,STIC,LS,21038945,796.5,26.683,20210716-20220111,0,1,fair,C
AIMS,2021-07-17T01:15:00Z,ENM13,STIC,LS,21038945,925.7,26.097,20210716-20220111,0,1,fair,C
AIMS,2021-07-17T01:30:00Z,ENM13,STIC,LS,21038945,1377.8,25.513,20210716-20220111,0,1,fair,C
AIMS,2021-07-17T01:45:00Z,ENM13,STIC,LS,21038945,1463.9,24.931,20210716-20220111,0,1,fair,C
AIMS,2021-07-17T02:00:00Z,ENM13,STIC,LS,21038945,1636.1,24.544999999999998,20210716-20220111,0,1,fair,C
AIMS,2021-07-17T02:15:00Z,ENM13,STIC,LS,21038945,1808.3,24.158,20210716-20220111,0,1,fair,C
AIMS,2021-07-17T02:30:00Z,ENM13,STIC,LS,21038945,1894.5,23.965999999999998,20210716-20220111,0,1,fair,C
AIMS,2021-07-17T02:45:00Z,ENM13,STIC,LS,21038945,1980.6,23.773,20210716-20220111,0,1,fair,C
AIMS,2021-07-17T03:00:00Z,ENM13,STIC,LS,21038945,2066.7,23.677000000000003,20210716-20220111,0,1,fair,C
AIMS,2021-07-17T03:15:00Z,ENM13,STIC,LS,21038945,2066.7,23.581,20210716-20220111,0,1,fair,C
AIMS,2021-07-17T03:30:00Z,ENM13,STIC,LS,21038945,2152.8,23.483999999999998,20210716-20220111,0,1,fair,C
AIMS,2021-07-17T03:45:00Z,ENM13,STIC,LS,21038945,2152.8,23.387999999999998,20210716-20220111,0,1,fair,C
AIMS,2021-07-17T04:00:00Z,ENM13,STIC,LS,21038945,2238.9,23.387999999999998,20210716-20220111,0,1,fair,C
AIMS,2021-07-17T04:15:00Z,ENM13,STIC,LS,21038945,2325,23.387999999999998,20210716-20220111,0,1,fair,C
AIMS,2021-07-17T04:30:00Z,ENM13,STIC,LS,21038945,2325,23.196,20210716-20220111,0,1,fair,C
AIMS,2021-07-17T04:45:00Z,ENM13,STIC,LS,21038945,2411.1,23.196,20210716-20220111,0,1,fair,C
AIMS,2021-07-17T05:00:00Z,ENM13,STIC,LS,21038945,2497.2,23.004,20210716-20220111,0,1,fair,C
AIMS,2021-07-17T05:15:00Z,ENM13,STIC,LS,21038945,2583.4,23.004,20210716-20220111,0,1,fair,C
AIMS,2021-07-17T05:30:00Z,ENM13,STIC,LS,21038945,2669.5,23.004,20210716-20220111,0,1,fair,C
AIMS,2021-07-17T05:45:00Z,ENM13,STIC,LS,21038945,2755.6,23.196,20210716-20220111,0,1,fair,C
AIMS,2021-07-17T06:00:00Z,ENM13,STIC,LS,21038945,2755.6,23.483999999999998,20210716-20220111,0,1,fair,C
AIMS,2021-07-17T06:15:00Z,ENM13,STIC,LS,21038945,2669.5,23.483999999999998,20210716-20220111,0,1,fair,C
AIMS,2021-07-17T06:30:00Z,ENM13,STIC,LS,21038945,2669.5,23.581,20210716-20220111,0,1,fair,C
AIMS,2021-07-17T06:45:00Z,ENM13,STIC,LS,21038945,2583.4,23.581,20210716-20220111,0,1,fair,C
AIMS,2021-07-17T07:00:00Z,ENM13,STIC,LS,21038945,2583.4,23.581,20210716-20220111,0,1,fair,C
AIMS,2021-07-17T07:15:00Z,ENM13,STIC,LS,21038945,2583.4,23.581,20210716-20220111,0,1,fair,C
AIMS,2021-07-17T07:30:00Z,ENM13,STIC,LS,21038945,24800.2,22.333000000000002,20210716-20220111,257.69323929999996,1,fair,NA
AIMS,2021-07-17T07:45:00Z,ENM13,STIC,LS,21038945,24800.2,21.187,20210716-20220111,257.69323929999996,1,fair,NA
AIMS,2021-07-17T08:00:00Z,ENM13,STIC,LS,21038945,30311.3,21.473,20210716-20220111,333.8997951,1,fair,NA
AIMS,2021-07-17T08:15:00Z,ENM13,STIC,LS,21038945,31689.1,21.378,20210716-20220111,352.9517796999999,1,fair,NA
AIMS,2021-07-17T08:30:00Z,ENM13,STIC,LS,21038945,34444.7,21.187,20210716-20220111,391.055749,1,fair,NA
AIMS,2021-07-17T08:45:00Z,ENM13,STIC,LS,21038945,38578,21.281999999999996,20210716-20220111,448.2103201,1,fair,NA
AIMS,2021-07-17T09:00:00Z,ENM13,STIC,LS,21038945,44089.2,21.281999999999996,20210716-20220111,524.4182586999999,1,fair,NA
AIMS,2021-07-17T09:15:00Z,ENM13,STIC,LS,21038945,46844.8,21.187,20210716-20220111,562.5222279999998,1,fair,NA
AIMS,2021-07-17T09:30:00Z,ENM13,STIC,LS,21038945,49600.3,21.091,20210716-20220111,600.6248145000001,1,fair,NA
AIMS,2021-07-17T09:45:00Z,ENM13,STIC,LS,21038945,52355.9,21.091,20210716-20220111,638.7287837000001,1,fair,NA
