project,datetime,siteId,rType,sublocation,SN,condUncal,tempC,rep,SpC,wetdry,qual_rating,QAQC
AIMS,2024-01-01T00:00:00Z,SHA04,STIC,HS,21736465,0,1.0027777777777775,20231016-20240310,0,0,excellent,C
AIMS,2024-01-01T00:15:00Z,SHA04,STIC,HS,21736465,0,1.0027777777777775,20231016-20240310,0,0,excellent,C
AIMS,2024-01-01T00:30:00Z,SHA04,STIC,HS,21736465,0,1.0027777777777775,20231016-20240310,0,0,excellent,C
AIMS,2024-01-01T00:45:00Z,SHA04,STIC,HS,21736465,0,0.8927777777777774,20231016-20240310,0,0,excellent,C
AIMS,2024-01-01T01:00:00Z,SHA04,STIC,HS,21736465,0,0.8927777777777774,20231016-20240310,0,0,excellent,C
AIMS,2024-01-01T01:15:00Z,SHA04,STIC,HS,21736465,0,0.8927777777777774,20231016-20240310,0,0,excellent,C
AIMS,2024-01-01T01:30:00Z,SHA04,STIC,HS,21736465,0,0.8927777777777774,20231016-20240310,0,0,excellent,C
AIMS,2024-01-01T01:45:00Z,SHA04,STIC,HS,21736465,0,0.8927777777777774,20231016-20240310,0,0,excellent,C
AIMS,2024-01-01T02:00:00Z,SHA04,STIC,HS,21736465,0,0.8927777777777774,20231016-20240310,0,0,excellent,C
AIMS,2024-01-01T02:15:00Z,SHA04,STIC,HS,21736465,0,0.7838888888888895,20231016-20240310,0,0,excellent,C
AIMS,2024-01-01T02:30:00Z,SHA04,STIC,HS,21736465,0,0.7838888888888895,20231016-20240310,0,0,excellent,C
AIMS,2024-01-01T02:45:00Z,SHA04,STIC,HS,21736465,0,0.7838888888888895,20231016-20240310,0,0,excellent,C
AIMS,2024-01-01T03:00:00Z,SHA04,STIC,HS,21736465,0,0.7838888888888895,20231016-20240310,0,0,excellent,C
AIMS,2024-01-01T03:15:00Z,SHA04,STIC,HS,21736465,0,0.6738888888888894,20231016-20240310,0,0,excellent,C
AIMS,2024-01-01T03:30:00Z,SHA04,STIC,HS,21736465,0,0.6738888888888894,20231016-20240310,0,0,excellent,C
AIMS,2024-01-01T03:45:00Z,SHA04,STIC,HS,21736465,0,0.6738888888888894,20231016-20240310,0,0,excellent,C
AIMS,2024-01-01T04:00:00Z,SHA04,STIC,HS,21736465,0,0.6738888888888894,20231016-20240310,0,0,excellent,C
AIMS,2024-01-01T04:15:00Z,SHA04,STIC,HS,21736465,0,0.6738888888888894,20231016-20240310,0,0,excellent,C
AIMS,2024-01-01T04:30:00Z,SHA04,STIC,HS,21736465,0,0.6738888888888894,20231016-20240310,0,0,excellent,C
AIMS,2024-01-01T04:45:00Z,SHA04,STIC,HS,21736465,0,0.6738888888888894,20231016-20240310,0,0,excellent,C
AIMS,2024-01-01T05:00:00Z,SHA04,STIC,HS,21736465,0,0.6738888888888894,20231016-20240310,0,0,excellent,C
