project,datetime,siteId,rType,sublocation,SN,condUncal,tempC,rep,SpC,wetdry,qual_rating,QAQC
AIMS,2023-03-13T23:00:00Z,SHB11,STIC,HS,20946453,0,4.415,20230313-20231016,0,0,excellent,C
AIMS,2023-03-13T23:15:00Z,SHB11,STIC,HS,20946453,0,3.7880000000000003,20230313-20231016,0,0,excellent,C
AIMS,2023-03-13T23:30:00Z,SHB11,STIC,HS,20946453,0,3.261,20230313-20231016,0,0,excellent,C
AIMS,2023-03-13T23:45:00Z,SHB11,STIC,HS,20946453,0,2.624,20230313-20231016,0,0,excellent,C
AIMS,2023-03-14T00:00:00Z,SHB11,STIC,HS,20946453,0,1.872,20230313-20231016,0,0,excellent,C
AIMS,2023-03-14T00:15:00Z,SHB11,STIC,HS,20946453,0,1.003,20230313-20231016,0,0,excellent,C
AIMS,2023-03-14T00:30:00Z,SHB11,STIC,HS,20946453,0,-0.10200000000000001,20230313-20231016,0,0,excellent,C
AIMS,2023-03-14T00:45:00Z,SHB11,STIC,HS,20946453,0,-1.228,20230313-20231016,0,0,excellent,C
AIMS,2023-03-14T01:00:00Z,SHB11,STIC,HS,20946453,0,-2.145,20230313-20231016,0,0,excellent,C
AIMS,2023-03-14T01:15:00Z,SHB11,STIC,HS,20946453,0,-2.7270000000000003,20230313-20231016,0,0,excellent,C
AIMS,2023-03-14T01:30:00Z,SHB11,STIC,HS,20946453,0,-3.0789999999999997,20230313-20231016,0,0,excellent,C
AIMS,2023-03-14T01:45:00Z,SHB11,STIC,HS,20946453,0,-3.3159999999999994,20230313-20231016,0,0,excellent,C
AIMS,2023-03-14T02:00:00Z,SHB11,STIC,HS,20946453,0,-3.553,20230313-20231016,0,0,excellent,C
AIMS,2023-03-14T02:15:00Z,SHB11,STIC,HS,20946453,0,-3.792,20230313-20231016,0,0,excellent,C
AIMS,2023-03-14T02:30:00Z,SHB11,STIC,HS,20946453,0,-4.031000000000001,20230313-20231016,0,0,excellent,C
AIMS,2023-03-14T02:45:00Z,SHB11,STIC,HS,20946453,0,-4.151999999999999,20230313-20231016,0,0,excellent,C
AIMS,2023-03-14T03:00:00Z,SHB11,STIC,HS,20946453,0,-4.272,20230313-20231016,0,0,excellent,C
