project,datetime,siteId,rType,sublocation,SN,condUncal,tempC,rep,SpC,wetdry,qual_rating,QAQC
AIMS,2024-01-01T00:00:00Z,SHC02,STIC,HS,21736448,5166.7,1.003,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T00:15:00Z,SHC02,STIC,HS,21736448,5166.7,1.003,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T00:30:00Z,SHC02,STIC,HS,21736448,5166.7,0.893,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T00:45:00Z,SHC02,STIC,HS,21736448,5166.7,0.893,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T01:00:00Z,SHC02,STIC,HS,21736448,5166.7,0.7839999999999999,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T01:15:00Z,SHC02,STIC,HS,21736448,5166.7,0.7839999999999999,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T01:30:00Z,SHC02,STIC,HS,21736448,5166.7,0.7839999999999999,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T01:45:00Z,SHC02,STIC,HS,21736448,5166.7,0.7839999999999999,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T02:00:00Z,SHC02,STIC,HS,21736448,5166.7,0.6739999999999999,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T02:15:00Z,SHC02,STIC,HS,21736448,5166.7,0.6739999999999999,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T02:30:00Z,SHC02,STIC,HS,21736448,5166.7,0.6739999999999999,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T02:45:00Z,SHC02,STIC,HS,21736448,5166.7,0.5630000000000001,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T03:00:00Z,SHC02,STIC,HS,21736448,5166.7,0.5630000000000001,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T03:15:00Z,SHC02,STIC,HS,21736448,5166.7,0.453,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T03:30:00Z,SHC02,STIC,HS,21736448,5166.7,0.34299999999999997,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T03:45:00Z,SHC02,STIC,HS,21736448,5166.7,0.34299999999999997,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T04:00:00Z,SHC02,STIC,HS,21736448,5166.7,0.34299999999999997,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T04:15:00Z,SHC02,STIC,HS,21736448,5166.7,0.34299999999999997,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T04:30:00Z,SHC02,STIC,HS,21736448,5166.7,0.34299999999999997,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T04:45:00Z,SHC02,STIC,HS,21736448,5166.7,0.34299999999999997,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T05:00:00Z,SHC02,STIC,HS,21736448,5166.7,0.34299999999999997,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T05:15:00Z,SHC02,STIC,HS,21736448,5166.7,0.34299999999999997,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T05:30:00Z,SHC02,STIC,HS,21736448,5166.7,0.34299999999999997,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T05:45:00Z,SHC02,STIC,HS,21736448,5166.7,0.34299999999999997,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T06:00:00Z,SHC02,STIC,HS,21736448,5166.7,0.34299999999999997,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T06:15:00Z,SHC02,STIC,HS,21736448,5166.7,0.34299999999999997,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T06:30:00Z,SHC02,STIC,HS,21736448,5166.7,0.232,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T06:45:00Z,SHC02,STIC,HS,21736448,5166.7,0.232,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T07:00:00Z,SHC02,STIC,HS,21736448,5166.7,0.232,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T07:15:00Z,SHC02,STIC,HS,21736448,5166.7,0.232,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T07:30:00Z,SHC02,STIC,HS,21736448,5166.7,0.232,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T07:45:00Z,SHC02,STIC,HS,21736448,5166.7,0.232,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T08:00:00Z,SHC02,STIC,HS,21736448,5166.7,0.01,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T08:15:00Z,SHC02,STIC,HS,21736448,5166.7,0.01,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T08:30:00Z,SHC02,STIC,HS,21736448,5166.7,0.01,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T08:45:00Z,SHC02,STIC,HS,21736448,5166.7,0.01,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T09:00:00Z,SHC02,STIC,HS,21736448,5166.7,-0.10200000000000001,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T09:15:00Z,SHC02,STIC,HS,21736448,5166.7,-0.10200000000000001,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T09:30:00Z,SHC02,STIC,HS,21736448,5166.7,0.01,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T09:45:00Z,SHC02,STIC,HS,21736448,5166.7,0.01,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T10:00:00Z,SHC02,STIC,HS,21736448,5166.7,0.01,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T10:15:00Z,SHC02,STIC,HS,21736448,5166.7,0.01,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T10:30:00Z,SHC02,STIC,HS,21736448,5166.7,0.01,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T10:45:00Z,SHC02,STIC,HS,21736448,5166.7,0.01,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T11:00:00Z,SHC02,STIC,HS,21736448,5166.7,-0.10200000000000001,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T11:15:00Z,SHC02,STIC,HS,21736448,5166.7,-0.10200000000000001,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T11:30:00Z,SHC02,STIC,HS,21736448,5166.7,-0.21300000000000002,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T11:45:00Z,SHC02,STIC,HS,21736448,5166.7,-0.21300000000000002,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T12:00:00Z,SHC02,STIC,HS,21736448,5166.7,-0.325,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T12:15:00Z,SHC02,STIC,HS,21736448,5166.7,-0.43700000000000006,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T12:30:00Z,SHC02,STIC,HS,21736448,5166.7,-0.43700000000000006,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T12:45:00Z,SHC02,STIC,HS,21736448,5166.7,-0.43700000000000006,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T13:00:00Z,SHC02,STIC,HS,21736448,5166.7,-0.43700000000000006,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T13:15:00Z,SHC02,STIC,HS,21736448,5166.7,-0.43700000000000006,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T13:30:00Z,SHC02,STIC,HS,21736448,5166.7,-0.43700000000000006,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T13:45:00Z,SHC02,STIC,HS,21736448,5166.7,-0.43700000000000006,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T14:00:00Z,SHC02,STIC,HS,21736448,5166.7,-0.549,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T14:15:00Z,SHC02,STIC,HS,21736448,5166.7,-0.43700000000000006,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T14:30:00Z,SHC02,STIC,HS,21736448,5166.7,-0.325,20231016-20240314,42.38088432943805,1,fair,NA
AIMS,2024-01-01T14:45:00Z,SHC02,STIC,HS,21736448,5166.7,-0.10200000000000001,20231016-20240314,42.38088432943805,1,fair,NA
