project,datetime,siteId,rType,sublocation,SN,condUncal,tempC,rep,SpC,wetdry,qual_rating,QAQC
AIMS,2024-01-01T00:00:00Z,SHM05,STIC,HS,21736468,0,0.23222222222222183,20231016-20240520,0,0,fair,C
AIMS,2024-01-01T00:15:00Z,SHM05,STIC,HS,21736468,0,0.23222222222222183,20231016-20240520,0,0,fair,C
AIMS,2024-01-01T00:30:00Z,SHM05,STIC,HS,21736468,0,0.23222222222222183,20231016-20240520,0,0,fair,C
AIMS,2024-01-01T00:45:00Z,SHM05,STIC,HS,21736468,0,0.12111111111111308,20231016-20240520,0,0,fair,C
AIMS,2024-01-01T01:00:00Z,SHM05,STIC,HS,21736468,0,0.12111111111111308,20231016-20240520,0,0,fair,C
AIMS,2024-01-01T01:15:00Z,SHM05,STIC,HS,21736468,0,0.010000000000000378,20231016-20240520,0,0,fair,C
AIMS,2024-01-01T01:30:00Z,SHM05,STIC,HS,21736468,0,0.010000000000000378,20231016-20240520,0,0,fair,C
AIMS,2024-01-01T01:45:00Z,SHM05,STIC,HS,21736468,0,0.010000000000000378,20231016-20240520,0,0,fair,C
AIMS,2024-01-01T02:00:00Z,SHM05,STIC,HS,21736468,0,0.010000000000000378,20231016-20240520,0,0,fair,C
AIMS,2024-01-01T02:15:00Z,SHM05,STIC,HS,21736468,0,0.010000000000000378,20231016-20240520,0,0,fair,C
AIMS,2024-01-01T02:30:00Z,SHM05,STIC,HS,21736468,0,0.010000000000000378,20231016-20240520,0,0,fair,C
AIMS,2024-01-01T02:45:00Z,SHM05,STIC,HS,21736468,0,0.010000000000000378,20231016-20240520,0,0,fair,C
AIMS,2024-01-01T03:00:00Z,SHM05,STIC,HS,21736468,0,-0.10222222222222285,20231016-20240520,0,0,fair,C
AIMS,2024-01-01T03:15:00Z,SHM05,STIC,HS,21736468,0,-0.21277777777777732,20231016-20240520,0,0,fair,C
AIMS,2024-01-01T03:30:00Z,SHM05,STIC,HS,21736468,0,-0.21277777777777732,20231016-20240520,0,0,fair,C
AIMS,2024-01-01T03:45:00Z,SHM05,STIC,HS,21736468,0,-0.21277777777777732,20231016-20240520,0,0,fair,C
AIMS,2024-01-01T04:00:00Z,SHM05,STIC,HS,21736468,0,-0.32500000000000046,20231016-20240520,0,0,fair,C
AIMS,2024-01-01T04:15:00Z,SHM05,STIC,HS,21736468,0,-0.32500000000000046,20231016-20240520,0,0,fair,C
AIMS,2024-01-01T04:30:00Z,SHM05,STIC,HS,21736468,0,-0.32500000000000046,20231016-20240520,0,0,fair,C
AIMS,2024-01-01T04:45:00Z,SHM05,STIC,HS,21736468,0,-0.21277777777777732,20231016-20240520,0,0,fair,C
AIMS,2024-01-01T05:00:00Z,SHM05,STIC,HS,21736468,0,-0.21277777777777732,20231016-20240520,0,0,fair,C
AIMS,2024-01-01T05:15:00Z,SHM05,STIC,HS,21736468,0,-0.32500000000000046,20231016-20240520,0,0,fair,C
AIMS,2024-01-01T05:30:00Z,SHM05,STIC,HS,21736468,0,-0.32500000000000046,20231016-20240520,0,0,fair,C
AIMS,2024-01-01T05:45:00Z,SHM05,STIC,HS,21736468,0,-0.32500000000000046,20231016-20240520,0,0,fair,C
AIMS,2024-01-01T06:00:00Z,SHM05,STIC,HS,21736468,0,-0.32500000000000046,20231016-20240520,0,0,fair,C
AIMS,2024-01-01T06:15:00Z,SHM05,STIC,HS,21736468,0,-0.32500000000000046,20231016-20240520,0,0,fair,C
AIMS,2024-01-01T06:30:00Z,SHM05,STIC,HS,21736468,0,-0.32500000000000046,20231016-20240520,0,0,fair,C
AIMS,2024-01-01T06:45:00Z,SHM05,STIC,HS,21736468,0,-0.32500000000000046,20231016-20240520,0,0,fair,C
AIMS,2024-01-01T07:00:00Z,SHM05,STIC,HS,21736468,0,-0.32500000000000046,20231016-20240520,0,0,fair,C
AIMS,2024-01-01T07:15:00Z,SHM05,STIC,HS,21736468,0,-0.32500000000000046,20231016-20240520,0,0,fair,C
AIMS,2024-01-01T07:30:00Z,SHM05,STIC,HS,21736468,0,-0.32500000000000046,20231016-20240520,0,0,fair,C
AIMS,2024-01-01T07:45:00Z,SHM05,STIC,HS,21736468,0,-0.32500000000000046,20231016-20240520,0,0,fair,C
AIMS,2024-01-01T08:00:00Z,SHM05,STIC,HS,21736468,0,-0.4372222222222218,20231016-20240520,0,0,fair,C
