project,datetime,siteId,rType,rep,sublocation,SN,condUncal,tempC,SpC,wetdry,qual_rating,QAQC
AIMS,2021-09-24T22:00:00Z,PRA02,STIC,20210924-20220314,HS,21044184,55111.5,15.473,NA,1,excellent,NA
AIMS,2021-09-24T22:30:00Z,PRA02,STIC,20210924-20220314,HS,21044184,52355.9,15.473,NA,1,excellent,NA
AIMS,2021-09-24T23:00:00Z,PRA02,STIC,20210924-20220314,HS,21044184,52355.9,15.378,NA,1,excellent,NA
AIMS,2021-09-24T23:30:00Z,PRA02,STIC,20210924-20220314,HS,21044184,52355.9,15.282,NA,1,excellent,NA
AIMS,2021-09-25T00:00:00Z,PRA02,STIC,20210924-20220314,HS,21044184,52355.9,14.9,NA,1,excellent,NA
AIMS,2021-09-25T00:30:00Z,PRA02,STIC,20210924-20220314,HS,21044184,52355.9,14.613,NA,1,excellent,NA
AIMS,2021-09-25T01:00:00Z,PRA02,STIC,20210924-20220314,HS,21044184,52355.9,14.517,NA,1,excellent,NA
AIMS,2021-09-25T01:30:00Z,PRA02,STIC,20210924-20220314,HS,21044184,52355.9,14.23,NA,1,excellent,NA
AIMS,2021-09-25T02:00:00Z,PRA02,STIC,20210924-20220314,HS,21044184,52355.9,14.038,NA,1,excellent,NA
AIMS,2021-09-25T02:30:00Z,PRA02,STIC,20210924-20220314,HS,21044184,52355.9,13.942,NA,1,excellent,NA
AIMS,2021-09-25T03:00:00Z,PRA02,STIC,20210924-20220314,HS,21044184,52355.9,13.654,NA,1,excellent,NA
AIMS,2021-09-25T03:30:00Z,PRA02,STIC,20210924-20220314,HS,21044184,52355.9,13.558,NA,1,excellent,NA
AIMS,2021-09-25T04:00:00Z,PRA02,STIC,20210924-20220314,HS,21044184,52355.9,13.461,NA,1,excellent,NA
AIMS,2021-09-25T04:30:00Z,PRA02,STIC,20210924-20220314,HS,21044184,52355.9,13.365,NA,1,excellent,NA
AIMS,2021-09-25T05:00:00Z,PRA02,STIC,20210924-20220314,HS,21044184,52355.9,13.173,NA,1,excellent,NA
AIMS,2021-09-25T05:30:00Z,PRA02,STIC,20210924-20220314,HS,21044184,52355.9,13.076,NA,1,excellent,NA
AIMS,2021-09-25T06:00:00Z,PRA02,STIC,20210924-20220314,HS,21044184,52355.9,13.076,NA,1,excellent,NA
AIMS,2021-09-25T06:30:00Z,PRA02,STIC,20210924-20220314,HS,21044184,52355.9,12.98,NA,1,excellent,NA
AIMS,2021-09-25T07:00:00Z,PRA02,STIC,20210924-20220314,HS,21044184,49600.3,12.883,NA,1,excellent,NA
AIMS,2021-09-25T07:30:00Z,PRA02,STIC,20210924-20220314,HS,21044184,49600.3,12.787,NA,1,excellent,NA
AIMS,2021-09-25T08:00:00Z,PRA02,STIC,20210924-20220314,HS,21044184,49600.3,12.787,NA,1,excellent,NA
AIMS,2021-09-25T08:30:00Z,PRA02,STIC,20210924-20220314,HS,21044184,49600.3,12.787,NA,1,excellent,NA
AIMS,2021-09-25T09:00:00Z,PRA02,STIC,20210924-20220314,HS,21044184,49600.3,12.594,NA,1,excellent,NA
AIMS,2021-09-25T09:30:00Z,PRA02,STIC,20210924-20220314,HS,21044184,49600.3,12.594,NA,1,excellent,NA
AIMS,2021-09-25T10:00:00Z,PRA02,STIC,20210924-20220314,HS,21044184,49600.3,12.594,NA,1,excellent,NA
AIMS,2021-09-25T10:30:00Z,PRA02,STIC,20210924-20220314,HS,21044184,49600.3,12.497,NA,1,excellent,NA
AIMS,2021-09-25T11:00:00Z,PRA02,STIC,20210924-20220314,HS,21044184,49600.3,12.594,NA,1,excellent,NA
AIMS,2021-09-25T11:30:00Z,PRA02,STIC,20210924-20220314,HS,21044184,49600.3,12.497,NA,1,excellent,NA
AIMS,2021-09-25T12:00:00Z,PRA02,STIC,20210924-20220314,HS,21044184,49600.3,12.401,NA,1,excellent,NA
