project,datetime,siteId,rType,rep,sublocation,SN,condUncal,tempC,SpC,wetdry,qual_rating,QAQC
AIMS,2021-09-24T22:00:00Z,PRB03,STIC,20210924-20220314,HS,21059679,71644.9,15.951,NA,1,poor,NA
AIMS,2021-09-24T22:30:00Z,PRB03,STIC,20210924-20220314,HS,21059679,68889.3,15.951,NA,1,poor,NA
AIMS,2021-09-24T23:00:00Z,PRB03,STIC,20210924-20220314,HS,21059679,68889.3,15.855,NA,1,poor,NA
AIMS,2021-09-24T23:30:00Z,PRB03,STIC,20210924-20220314,HS,21059679,68889.3,15.855,NA,1,poor,NA
AIMS,2021-09-25T00:00:00Z,PRB03,STIC,20210924-20220314,HS,21059679,68889.3,15.76,NA,1,poor,NA
AIMS,2021-09-25T00:30:00Z,PRB03,STIC,20210924-20220314,HS,21059679,68889.3,15.664,NA,1,poor,NA
AIMS,2021-09-25T01:00:00Z,PRB03,STIC,20210924-20220314,HS,21059679,68889.3,15.569,NA,1,poor,NA
AIMS,2021-09-25T01:30:00Z,PRB03,STIC,20210924-20220314,HS,21059679,68889.3,15.473,NA,1,poor,NA
AIMS,2021-09-25T02:00:00Z,PRB03,STIC,20210924-20220314,HS,21059679,68889.3,15.378,NA,1,poor,NA
AIMS,2021-09-25T02:30:00Z,PRB03,STIC,20210924-20220314,HS,21059679,68889.3,15.282,NA,1,poor,NA
AIMS,2021-09-25T03:00:00Z,PRB03,STIC,20210924-20220314,HS,21059679,68889.3,15.187,NA,1,poor,NA
AIMS,2021-09-25T03:30:00Z,PRB03,STIC,20210924-20220314,HS,21059679,68889.3,15.091,NA,1,poor,NA
AIMS,2021-09-25T04:00:00Z,PRB03,STIC,20210924-20220314,HS,21059679,68889.3,14.996,NA,1,poor,NA
AIMS,2021-09-25T04:30:00Z,PRB03,STIC,20210924-20220314,HS,21059679,68889.3,14.9,NA,1,poor,NA
AIMS,2021-09-25T05:00:00Z,PRB03,STIC,20210924-20220314,HS,21059679,68889.3,14.804,NA,1,poor,NA
AIMS,2021-09-25T05:30:00Z,PRB03,STIC,20210924-20220314,HS,21059679,68889.3,14.709,NA,1,poor,NA
AIMS,2021-09-25T06:00:00Z,PRB03,STIC,20210924-20220314,HS,21059679,68889.3,14.709,NA,1,poor,NA
AIMS,2021-09-25T06:30:00Z,PRB03,STIC,20210924-20220314,HS,21059679,68889.3,14.613,NA,1,poor,NA
AIMS,2021-09-25T07:00:00Z,PRB03,STIC,20210924-20220314,HS,21059679,68889.3,14.517,NA,1,poor,NA
AIMS,2021-09-25T07:30:00Z,PRB03,STIC,20210924-20220314,HS,21059679,68889.3,14.421,NA,1,poor,NA
AIMS,2021-09-25T08:00:00Z,PRB03,STIC,20210924-20220314,HS,21059679,68889.3,14.421,NA,1,poor,NA
AIMS,2021-09-25T08:30:00Z,PRB03,STIC,20210924-20220314,HS,21059679,68889.3,14.421,NA,1,poor,NA
AIMS,2021-09-25T09:00:00Z,PRB03,STIC,20210924-20220314,HS,21059679,68889.3,14.325,NA,1,poor,NA
AIMS,2021-09-25T09:30:00Z,PRB03,STIC,20210924-20220314,HS,21059679,68889.3,14.325,NA,1,poor,NA
AIMS,2021-09-25T10:00:00Z,PRB03,STIC,20210924-20220314,HS,21059679,68889.3,14.23,NA,1,poor,NA
AIMS,2021-09-25T10:30:00Z,PRB03,STIC,20210924-20220314,HS,21059679,68889.3,14.23,NA,1,poor,NA
AIMS,2021-09-25T11:00:00Z,PRB03,STIC,20210924-20220314,HS,21059679,68889.3,14.23,NA,1,poor,NA
AIMS,2021-09-25T11:30:00Z,PRB03,STIC,20210924-20220314,HS,21059679,68889.3,14.134,NA,1,poor,NA
AIMS,2021-09-25T12:00:00Z,PRB03,STIC,20210924-20220314,HS,21059679,68889.3,14.134,NA,1,poor,NA
AIMS,2021-09-25T12:30:00Z,PRB03,STIC,20210924-20220314,HS,21059679,66133.8,14.038,NA,1,poor,NA
AIMS,2021-09-25T13:00:00Z,PRB03,STIC,20210924-20220314,HS,21059679,68889.3,14.134,NA,1,poor,NA
AIMS,2021-09-25T13:30:00Z,PRB03,STIC,20210924-20220314,HS,21059679,68889.3,14.325,NA,1,poor,NA
