project,datetime,siteId,rType,rep,sublocation,SN,condUncal,tempC,SpC,wetdry,qual_rating,QAQC
AIMS,2022-01-01T00:00:00Z,PRM20,STIC,20210924-20220314,HS,21035951,376.7,14.517,29.376953680099998,1,poor,NA
AIMS,2022-01-01T00:30:00Z,PRM20,STIC,20210924-20220314,HS,21035951,387.5,14.517,29.436185232499998,1,poor,NA
AIMS,2022-01-01T01:00:00Z,PRM20,STIC,20210924-20220314,HS,21035951,376.7,14.517,29.376953680099998,1,poor,NA
AIMS,2022-01-01T01:30:00Z,PRM20,STIC,20210924-20220314,HS,21035951,376.7,14.517,29.376953680099998,1,poor,NA
AIMS,2022-01-01T02:00:00Z,PRM20,STIC,20210924-20220314,HS,21035951,387.5,14.517,29.436185232499998,1,poor,NA
AIMS,2022-01-01T02:30:00Z,PRM20,STIC,20210924-20220314,HS,21035951,355.2,14.517,29.2590390156,0,poor,NA
AIMS,2022-01-01T03:00:00Z,PRM20,STIC,20210924-20220314,HS,21035951,344.4,14.517,29.1998074632,0,poor,NA
AIMS,2022-01-01T03:30:00Z,PRM20,STIC,20210924-20220314,HS,21035951,344.4,14.613,29.1998074632,0,poor,NA
AIMS,2022-01-01T04:00:00Z,PRM20,STIC,20210924-20220314,HS,21035951,344.4,14.613,29.1998074632,0,poor,NA
AIMS,2022-01-01T04:30:00Z,PRM20,STIC,20210924-20220314,HS,21035951,344.4,14.613,29.1998074632,0,poor,NA
AIMS,2022-01-01T05:00:00Z,PRM20,STIC,20210924-20220314,HS,21035951,344.4,14.613,29.1998074632,0,poor,NA
AIMS,2022-01-01T05:30:00Z,PRM20,STIC,20210924-20220314,HS,21035951,344.4,14.613,29.1998074632,0,poor,NA
AIMS,2022-01-01T06:00:00Z,PRM20,STIC,20210924-20220314,HS,21035951,322.9,14.613,29.081892798699997,0,poor,NA
AIMS,2022-01-01T06:30:00Z,PRM20,STIC,20210924-20220314,HS,21035951,344.4,14.613,29.1998074632,0,poor,NA
AIMS,2022-01-01T07:00:00Z,PRM20,STIC,20210924-20220314,HS,21035951,322.9,14.709,29.081892798699997,0,poor,NA
AIMS,2022-01-01T07:30:00Z,PRM20,STIC,20210924-20220314,HS,21035951,322.9,14.709,29.081892798699997,0,poor,NA
AIMS,2022-01-01T08:00:00Z,PRM20,STIC,20210924-20220314,HS,21035951,312.2,14.709,29.023209686599998,0,poor,NA
AIMS,2022-01-01T08:30:00Z,PRM20,STIC,20210924-20220314,HS,21035951,322.9,14.709,29.081892798699997,0,poor,NA
AIMS,2022-01-01T09:00:00Z,PRM20,STIC,20210924-20220314,HS,21035951,301.4,14.709,28.963978134199998,0,poor,NA
AIMS,2022-01-01T09:30:00Z,PRM20,STIC,20210924-20220314,HS,21035951,344.4,14.804,29.1998074632,0,poor,NA
AIMS,2022-01-01T10:00:00Z,PRM20,STIC,20210924-20220314,HS,21035951,344.4,14.709,29.1998074632,0,poor,NA
AIMS,2022-01-01T10:30:00Z,PRM20,STIC,20210924-20220314,HS,21035951,322.9,14.804,29.081892798699997,0,poor,NA
AIMS,2022-01-01T11:00:00Z,PRM20,STIC,20210924-20220314,HS,21035951,344.4,14.709,29.1998074632,0,poor,NA
AIMS,2022-01-01T11:30:00Z,PRM20,STIC,20210924-20220314,HS,21035951,344.4,14.709,29.1998074632,0,poor,NA
AIMS,2022-01-01T12:00:00Z,PRM20,STIC,20210924-20220314,HS,21035951,355.2,14.709,29.2590390156,0,poor,NA
AIMS,2022-01-01T12:30:00Z,PRM20,STIC,20210924-20220314,HS,21035951,344.4,14.709,29.1998074632,0,poor,NA
AIMS,2022-01-01T13:00:00Z,PRM20,STIC,20210924-20220314,HS,21035951,344.4,14.709,29.1998074632,0,poor,NA
AIMS,2022-01-01T13:30:00Z,PRM20,STIC,20210924-20220314,HS,21035951,344.4,14.709,29.1998074632,0,poor,NA
AIMS,2022-01-01T14:00:00Z,PRM20,STIC,20210924-20220314,HS,21035951,355.2,14.709,29.2590390156,0,poor,NA
AIMS,2022-01-01T14:30:00Z,PRM20,STIC,20210924-20220314,HS,21035951,344.4,14.804,29.1998074632,0,poor,NA
