project,datetime,siteId,rType,rep,sublocation,SN,condUncal,tempC,SpC,wetdry,qual_rating,QAQC
AIMS,2021-09-17T17:00:00Z,WHA03,STIC,20210917-20220325,HS,21059654,12400.1,23.1,49.84488580360001,1,excellent,NA
AIMS,2021-09-17T17:15:00Z,WHA03,STIC,20210917-20220325,HS,21059654,12400.1,23.1,49.84488580360001,1,excellent,NA
AIMS,2021-09-17T17:30:00Z,WHA03,STIC,20210917-20220325,HS,21059654,12400.1,23.196,49.84488580360001,1,excellent,NA
AIMS,2021-09-17T17:45:00Z,WHA03,STIC,20210917-20220325,HS,21059654,12400.1,23.196,49.84488580360001,1,excellent,NA
AIMS,2021-09-17T18:00:00Z,WHA03,STIC,20210917-20220325,HS,21059654,12400.1,23.196,49.84488580360001,1,excellent,NA
AIMS,2021-09-17T18:15:00Z,WHA03,STIC,20210917-20220325,HS,21059654,12400.1,23.292,49.84488580360001,1,excellent,NA
AIMS,2021-09-17T18:30:00Z,WHA03,STIC,20210917-20220325,HS,21059654,12400.1,23.292,49.84488580360001,1,excellent,NA
AIMS,2021-09-17T18:45:00Z,WHA03,STIC,20210917-20220325,HS,21059654,12400.1,23.388,49.84488580360001,1,excellent,NA
AIMS,2021-09-17T19:00:00Z,WHA03,STIC,20210917-20220325,HS,21059654,12400.1,23.484,49.84488580360001,1,excellent,NA
AIMS,2021-09-17T19:15:00Z,WHA03,STIC,20210917-20220325,HS,21059654,12400.1,23.581,49.84488580360001,1,excellent,NA
AIMS,2021-09-17T19:30:00Z,WHA03,STIC,20210917-20220325,HS,21059654,12400.1,23.581,49.84488580360001,1,excellent,NA
AIMS,2021-09-17T19:45:00Z,WHA03,STIC,20210917-20220325,HS,21059654,12400.1,23.677,49.84488580360001,1,excellent,NA
AIMS,2021-09-17T20:00:00Z,WHA03,STIC,20210917-20220325,HS,21059654,12400.1,23.677,49.84488580360001,1,excellent,NA
AIMS,2021-09-17T20:15:00Z,WHA03,STIC,20210917-20220325,HS,21059654,12400.1,23.677,49.84488580360001,1,excellent,NA
AIMS,2021-09-17T20:30:00Z,WHA03,STIC,20210917-20220325,HS,21059654,12400.1,23.773,49.84488580360001,1,excellent,NA
AIMS,2021-09-17T20:45:00Z,WHA03,STIC,20210917-20220325,HS,21059654,12400.1,23.773,49.84488580360001,1,excellent,NA
AIMS,2021-09-17T21:00:00Z,WHA03,STIC,20210917-20220325,HS,21059654,12400.1,23.869,49.84488580360001,1,excellent,NA
AIMS,2021-09-17T21:15:00Z,WHA03,STIC,20210917-20220325,HS,21059654,12400.1,23.869,49.84488580360001,1,excellent,NA
AIMS,2021-09-17T21:30:00Z,WHA03,STIC,20210917-20220325,HS,21059654,12400.1,23.869,49.84488580360001,1,excellent,NA
AIMS,2021-09-17T21:45:00Z,WHA03,STIC,20210917-20220325,HS,21059654,12400.1,23.869,49.84488580360001,1,excellent,NA
AIMS,2021-09-17T22:00:00Z,WHA03,STIC,20210917-20220325,HS,21059654,12400.1,23.869,49.84488580360001,1,excellent,NA
AIMS,2021-09-17T22:15:00Z,WHA03,STIC,20210917-20220325,HS,21059654,4305.6,24.062,20.133570261600003,1,excellent,NA
AIMS,2021-09-17T22:30:00Z,WHA03,STIC,20210917-20220325,HS,21059654,3616.7,24.351,17.604924233200002,1,excellent,NA
AIMS,2021-09-17T22:45:00Z,WHA03,STIC,20210917-20220325,HS,21059654,3444.5,24.351,16.97285449,1,excellent,NA
AIMS,2021-09-17T23:00:00Z,WHA03,STIC,20210917-20220325,HS,21059654,3616.7,24.255,17.604924233200002,1,excellent,NA
AIMS,2021-09-17T23:15:00Z,WHA03,STIC,20210917-20220325,HS,21059654,3961.1,24.158,18.8690637196,1,excellent,NA
AIMS,2021-09-17T23:30:00Z,WHA03,STIC,20210917-20220325,HS,21059654,4305.6,24.062,20.133570261600003,1,excellent,NA
AIMS,2021-09-17T23:45:00Z,WHA03,STIC,20210917-20220325,HS,21059654,4477.8,23.966,20.7656400048,1,excellent,NA
AIMS,2021-09-18T00:00:00Z,WHA03,STIC,20210917-20220325,HS,21059654,4650,23.869,21.397709748,1,excellent,NA
AIMS,2021-09-18T00:15:00Z,WHA03,STIC,20210917-20220325,HS,21059654,4822.3,23.869,22.0301465468,1,excellent,NA
AIMS,2021-09-18T00:30:00Z,WHA03,STIC,20210917-20220325,HS,21059654,4994.5,23.773,22.66221629,1,excellent,NA
AIMS,2021-09-18T00:45:00Z,WHA03,STIC,20210917-20220325,HS,21059654,4994.5,23.677,22.66221629,1,excellent,NA
AIMS,2021-09-18T01:00:00Z,WHA03,STIC,20210917-20220325,HS,21059654,5166.7,23.677,23.2942860332,1,excellent,NA
AIMS,2021-09-18T01:15:00Z,WHA03,STIC,20210917-20220325,HS,21059654,5166.7,23.677,23.2942860332,1,excellent,NA
AIMS,2021-09-18T01:30:00Z,WHA03,STIC,20210917-20220325,HS,21059654,5166.7,23.581,23.2942860332,1,excellent,NA
AIMS,2021-09-18T01:45:00Z,WHA03,STIC,20210917-20220325,HS,21059654,5338.9,23.484,23.926355776399998,1,excellent,NA
AIMS,2021-09-18T02:00:00Z,WHA03,STIC,20210917-20220325,HS,21059654,5338.9,23.484,23.926355776399998,1,excellent,NA
AIMS,2021-09-18T02:15:00Z,WHA03,STIC,20210917-20220325,HS,21059654,5338.9,23.484,23.926355776399998,1,excellent,NA
AIMS,2021-09-18T02:30:00Z,WHA03,STIC,20210917-20220325,HS,21059654,5338.9,23.388,23.926355776399998,1,excellent,NA
AIMS,2021-09-18T02:45:00Z,WHA03,STIC,20210917-20220325,HS,21059654,5338.9,23.388,23.926355776399998,1,excellent,NA
AIMS,2021-09-18T03:00:00Z,WHA03,STIC,20210917-20220325,HS,21059654,10677.8,23.388,43.5230872048,1,excellent,NA
AIMS,2021-09-18T03:15:00Z,WHA03,STIC,20210917-20220325,HS,21059654,5338.9,23.292,23.926355776399998,1,excellent,NA
AIMS,2021-09-18T03:30:00Z,WHA03,STIC,20210917-20220325,HS,21059654,10677.8,23.292,43.5230872048,1,excellent,NA
AIMS,2021-09-18T03:45:00Z,WHA03,STIC,20210917-20220325,HS,21059654,10677.8,23.292,43.5230872048,1,excellent,NA
AIMS,2021-09-18T04:00:00Z,WHA03,STIC,20210917-20220325,HS,21059654,11022.3,23.292,44.7875937468,1,excellent,NA
AIMS,2021-09-18T04:15:00Z,WHA03,STIC,20210917-20220325,HS,21059654,11022.3,23.196,44.7875937468,1,excellent,NA
AIMS,2021-09-18T04:30:00Z,WHA03,STIC,20210917-20220325,HS,21059654,11022.3,23.196,44.7875937468,1,excellent,NA
AIMS,2021-09-18T04:45:00Z,WHA03,STIC,20210917-20220325,HS,21059654,11022.3,23.196,44.7875937468,1,excellent,NA
AIMS,2021-09-18T05:00:00Z,WHA03,STIC,20210917-20220325,HS,21059654,11022.3,23.1,44.7875937468,1,excellent,NA
AIMS,2021-09-18T05:15:00Z,WHA03,STIC,20210917-20220325,HS,21059654,11022.3,23.1,44.7875937468,1,excellent,NA
AIMS,2021-09-18T05:30:00Z,WHA03,STIC,20210917-20220325,HS,21059654,11022.3,23.1,44.7875937468,1,excellent,NA
AIMS,2021-09-18T05:45:00Z,WHA03,STIC,20210917-20220325,HS,21059654,11022.3,23.1,44.7875937468,1,excellent,NA
AIMS,2021-09-18T06:00:00Z,WHA03,STIC,20210917-20220325,HS,21059654,11022.3,23.004,44.7875937468,1,excellent,NA
AIMS,2021-09-18T06:15:00Z,WHA03,STIC,20210917-20220325,HS,21059654,11022.3,23.004,44.7875937468,1,excellent,NA
AIMS,2021-09-18T06:30:00Z,WHA03,STIC,20210917-20220325,HS,21059654,11022.3,23.004,44.7875937468,1,excellent,NA
AIMS,2021-09-18T06:45:00Z,WHA03,STIC,20210917-20220325,HS,21059654,11022.3,23.004,44.7875937468,1,excellent,NA
AIMS,2021-09-18T07:00:00Z,WHA03,STIC,20210917-20220325,HS,21059654,11711.2,22.908,47.31623977520001,1,excellent,NA
AIMS,2021-09-18T07:15:00Z,WHA03,STIC,20210917-20220325,HS,21059654,11711.2,22.908,47.31623977520001,1,excellent,NA
AIMS,2021-09-18T07:30:00Z,WHA03,STIC,20210917-20220325,HS,21059654,11711.2,22.908,47.31623977520001,1,excellent,NA
AIMS,2021-09-18T07:45:00Z,WHA03,STIC,20210917-20220325,HS,21059654,11711.2,22.908,47.31623977520001,1,excellent,NA
AIMS,2021-09-18T08:00:00Z,WHA03,STIC,20210917-20220325,HS,21059654,11711.2,22.908,47.31623977520001,1,excellent,NA
AIMS,2021-09-18T08:15:00Z,WHA03,STIC,20210917-20220325,HS,21059654,11711.2,22.908,47.31623977520001,1,excellent,NA
AIMS,2021-09-18T08:30:00Z,WHA03,STIC,20210917-20220325,HS,21059654,11711.2,22.908,47.31623977520001,1,excellent,NA
AIMS,2021-09-18T08:45:00Z,WHA03,STIC,20210917-20220325,HS,21059654,11711.2,22.908,47.31623977520001,1,excellent,NA
