project,datetime,siteId,rType,rep,sublocation,SN,condUncal,tempC,SpC,wetdry,qual_rating,QAQC
AIMS,2022-01-01T00:00:00Z,WHB06,STIC,20210917-20220325,HS,21044186,34444.7,17.665,123.41401896129999,1,fair,O
AIMS,2022-01-01T00:15:00Z,WHB06,STIC,20210917-20220325,HS,21044186,34444.7,17.57,123.41401896129999,1,fair,O
AIMS,2022-01-01T00:30:00Z,WHB06,STIC,20210917-20220325,HS,21044186,34444.7,17.475,123.41401896129999,1,fair,O
AIMS,2022-01-01T00:45:00Z,WHB06,STIC,20210917-20220325,HS,21044186,34444.7,17.475,123.41401896129999,1,fair,O
AIMS,2022-01-01T01:00:00Z,WHB06,STIC,20210917-20220325,HS,21044186,34444.7,17.379,123.41401896129999,1,fair,O
AIMS,2022-01-01T01:15:00Z,WHB06,STIC,20210917-20220325,HS,21044186,34444.7,17.284,123.41401896129999,1,fair,O
AIMS,2022-01-01T01:30:00Z,WHB06,STIC,20210917-20220325,HS,21044186,34444.7,17.284,123.41401896129999,1,fair,O
AIMS,2022-01-01T01:45:00Z,WHB06,STIC,20210917-20220325,HS,21044186,34444.7,17.284,123.41401896129999,1,fair,O
AIMS,2022-01-01T02:00:00Z,WHB06,STIC,20210917-20220325,HS,21044186,35822.5,17.189,128.14685702949998,1,fair,O
AIMS,2022-01-01T02:15:00Z,WHB06,STIC,20210917-20220325,HS,21044186,35822.5,17.094,128.14685702949998,1,fair,O
AIMS,2022-01-01T02:30:00Z,WHB06,STIC,20210917-20220325,HS,21044186,35822.5,17.094,128.14685702949998,1,fair,O
AIMS,2022-01-01T02:45:00Z,WHB06,STIC,20210917-20220325,HS,21044186,35822.5,17.094,128.14685702949998,1,fair,O
AIMS,2022-01-01T03:00:00Z,WHB06,STIC,20210917-20220325,HS,21044186,35822.5,16.999,128.14685702949998,1,fair,O
AIMS,2022-01-01T03:15:00Z,WHB06,STIC,20210917-20220325,HS,21044186,35822.5,16.999,128.14685702949998,1,fair,O
