project,datetime,siteId,rType,rep,sublocation,SN,condUncal,tempC,SpC,wetdry,qual_rating,QAQC
AIMS,2021-09-17T17:00:00Z,WHM13,STIC,20210917-20220325,HS,21038953,4305.6,22.908,21.978353212800002,1,excellent,NA
AIMS,2021-09-17T17:15:00Z,WHM13,STIC,20210917-20220325,HS,21038953,4133.4,22.908,21.353692891199998,1,excellent,NA
AIMS,2021-09-17T17:30:00Z,WHM13,STIC,20210917-20220325,HS,21038953,4133.4,23.1,21.353692891199998,1,excellent,NA
AIMS,2021-09-17T17:45:00Z,WHM13,STIC,20210917-20220325,HS,21038953,4133.4,23.292,21.353692891199998,1,excellent,NA
AIMS,2021-09-17T18:00:00Z,WHM13,STIC,20210917-20220325,HS,21038953,4133.4,23.196,21.353692891199998,1,excellent,NA
AIMS,2021-09-17T18:15:00Z,WHM13,STIC,20210917-20220325,HS,21038953,4133.4,23.292,21.353692891199998,1,excellent,NA
AIMS,2021-09-17T18:30:00Z,WHM13,STIC,20210917-20220325,HS,21038953,4133.4,23.484,21.353692891199998,1,excellent,NA
AIMS,2021-09-17T18:45:00Z,WHM13,STIC,20210917-20220325,HS,21038953,4133.4,23.484,21.353692891199998,1,excellent,NA
AIMS,2021-09-17T19:00:00Z,WHM13,STIC,20210917-20220325,HS,21038953,4133.4,23.292,21.353692891199998,1,excellent,NA
AIMS,2021-09-17T19:15:00Z,WHM13,STIC,20210917-20220325,HS,21038953,4133.4,23.292,21.353692891199998,1,excellent,NA
AIMS,2021-09-17T19:30:00Z,WHM13,STIC,20210917-20220325,HS,21038953,4133.4,23.388,21.353692891199998,1,excellent,NA
AIMS,2021-09-17T19:45:00Z,WHM13,STIC,20210917-20220325,HS,21038953,4133.4,23.388,21.353692891199998,1,excellent,NA
AIMS,2021-09-17T20:00:00Z,WHM13,STIC,20210917-20220325,HS,21038953,4133.4,23.388,21.353692891199998,1,excellent,NA
AIMS,2021-09-17T20:15:00Z,WHM13,STIC,20210917-20220325,HS,21038953,4133.4,23.388,21.353692891199998,1,excellent,NA
