project,datetime,siteId,rType,rep,sublocation,SN,condUncal,tempC,SpC,wetdry,qual_rating,QAQC
AIMS,2024-01-01T00:00:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,7.079,8.9228176175,1,excellent,NA
AIMS,2024-01-01T00:15:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.978,8.9228176175,1,excellent,NA
AIMS,2024-01-01T00:30:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.978,8.9228176175,1,excellent,NA
AIMS,2024-01-01T00:45:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.877,8.9228176175,1,excellent,NA
AIMS,2024-01-01T01:00:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.877,8.9228176175,1,excellent,NA
AIMS,2024-01-01T01:15:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.877,8.9228176175,1,excellent,NA
AIMS,2024-01-01T01:30:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.978,8.9228176175,1,excellent,NA
AIMS,2024-01-01T01:45:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,7.079,8.9228176175,1,excellent,NA
AIMS,2024-01-01T02:00:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,7.079,8.9228176175,1,excellent,NA
AIMS,2024-01-01T02:15:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,7.179,8.9228176175,1,excellent,NA
AIMS,2024-01-01T02:30:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,7.179,8.9228176175,1,excellent,NA
AIMS,2024-01-01T02:45:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,7.179,8.9228176175,1,excellent,NA
AIMS,2024-01-01T03:00:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,7.179,8.9228176175,1,excellent,NA
AIMS,2024-01-01T03:15:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,7.079,8.9228176175,1,excellent,NA
AIMS,2024-01-01T03:30:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.978,8.9228176175,1,excellent,NA
AIMS,2024-01-01T03:45:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,7.079,8.9228176175,1,excellent,NA
AIMS,2024-01-01T04:00:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,7.079,8.9228176175,1,excellent,NA
AIMS,2024-01-01T04:15:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,7.179,8.9228176175,1,excellent,NA
AIMS,2024-01-01T04:30:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,7.179,8.9228176175,1,excellent,NA
AIMS,2024-01-01T04:45:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,7.179,8.9228176175,1,excellent,NA
AIMS,2024-01-01T05:00:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,7.179,8.9228176175,1,excellent,NA
AIMS,2024-01-01T05:15:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,7.079,8.9228176175,1,excellent,NA
AIMS,2024-01-01T05:30:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,7.079,8.9228176175,1,excellent,NA
AIMS,2024-01-01T05:45:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,7.079,8.9228176175,1,excellent,NA
AIMS,2024-01-01T06:00:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,7.079,8.9228176175,1,excellent,NA
AIMS,2024-01-01T06:15:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.978,8.9228176175,1,excellent,NA
AIMS,2024-01-01T06:30:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.877,8.9228176175,1,excellent,NA
AIMS,2024-01-01T06:45:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.877,8.9228176175,1,excellent,NA
AIMS,2024-01-01T07:00:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.775,8.9228176175,1,excellent,NA
AIMS,2024-01-01T07:15:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.674,8.9228176175,1,excellent,NA
AIMS,2024-01-01T07:30:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.674,8.9228176175,1,excellent,NA
AIMS,2024-01-01T07:45:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.674,8.9228176175,1,excellent,NA
AIMS,2024-01-01T08:00:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.674,8.9228176175,1,excellent,NA
AIMS,2024-01-01T08:15:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.573,8.9228176175,1,excellent,NA
AIMS,2024-01-01T08:30:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.573,8.9228176175,1,excellent,NA
AIMS,2024-01-01T08:45:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.674,8.9228176175,1,excellent,NA
AIMS,2024-01-01T09:00:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.775,8.9228176175,1,excellent,NA
AIMS,2024-01-01T09:15:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.775,8.9228176175,1,excellent,NA
AIMS,2024-01-01T09:30:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.775,8.9228176175,1,excellent,NA
AIMS,2024-01-01T09:45:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.775,8.9228176175,1,excellent,NA
AIMS,2024-01-01T10:00:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.877,8.9228176175,1,excellent,NA
AIMS,2024-01-01T10:15:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.877,8.9228176175,1,excellent,NA
AIMS,2024-01-01T10:30:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.877,8.9228176175,1,excellent,NA
AIMS,2024-01-01T10:45:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.674,8.9228176175,1,excellent,NA
AIMS,2024-01-01T11:00:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.471,8.9228176175,1,excellent,NA
AIMS,2024-01-01T11:15:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.471,8.9228176175,1,excellent,NA
AIMS,2024-01-01T11:30:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.37,8.9228176175,1,excellent,NA
AIMS,2024-01-01T11:45:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.268,8.9228176175,1,excellent,NA
AIMS,2024-01-01T12:00:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.166,8.9228176175,1,excellent,NA
AIMS,2024-01-01T12:15:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.064,8.9228176175,1,excellent,NA
AIMS,2024-01-01T12:30:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.064,8.9228176175,1,excellent,NA
AIMS,2024-01-01T12:45:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.064,8.9228176175,1,excellent,NA
AIMS,2024-01-01T13:00:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.064,8.9228176175,1,excellent,NA
AIMS,2024-01-01T13:15:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.166,8.9228176175,1,excellent,NA
AIMS,2024-01-01T13:30:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.37,8.9228176175,1,excellent,NA
AIMS,2024-01-01T13:45:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.471,8.9228176175,1,excellent,NA
AIMS,2024-01-01T14:00:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.674,8.9228176175,1,excellent,NA
AIMS,2024-01-01T14:15:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.674,8.9228176175,1,excellent,NA
AIMS,2024-01-01T14:30:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.674,8.9228176175,1,excellent,NA
AIMS,2024-01-01T14:45:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.674,8.9228176175,1,excellent,NA
AIMS,2024-01-01T15:00:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.775,8.9228176175,1,excellent,NA
AIMS,2024-01-01T15:15:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.877,8.9228176175,1,excellent,NA
AIMS,2024-01-01T15:30:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.978,8.9228176175,1,excellent,NA
AIMS,2024-01-01T15:45:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,7.179,8.9228176175,1,excellent,NA
AIMS,2024-01-01T16:00:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,7.381,8.9228176175,1,excellent,NA
AIMS,2024-01-01T16:15:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,7.481,8.9228176175,1,excellent,NA
AIMS,2024-01-01T16:30:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,7.381,8.9228176175,1,excellent,NA
AIMS,2024-01-01T16:45:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,7.28,8.9228176175,1,excellent,NA
AIMS,2024-01-01T17:00:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,7.481,8.9228176175,1,excellent,NA
AIMS,2024-01-01T17:15:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,7.782,8.9228176175,1,excellent,NA
AIMS,2024-01-01T17:30:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,8.182,8.9228176175,1,excellent,NA
AIMS,2024-01-01T17:45:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,7.682,8.9228176175,1,excellent,NA
AIMS,2024-01-01T18:00:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,7.682,8.9228176175,1,excellent,NA
AIMS,2024-01-01T18:15:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,7.682,8.9228176175,1,excellent,NA
AIMS,2024-01-01T18:30:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,7.882,8.9228176175,1,excellent,NA
AIMS,2024-01-01T18:45:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,7.682,8.9228176175,1,excellent,NA
AIMS,2024-01-01T19:00:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,7.582,8.9228176175,1,excellent,NA
AIMS,2024-01-01T19:15:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,7.582,8.9228176175,1,excellent,NA
AIMS,2024-01-01T19:30:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,7.481,8.9228176175,1,excellent,NA
AIMS,2024-01-01T19:45:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,7.28,8.9228176175,1,excellent,NA
AIMS,2024-01-01T20:00:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,7.28,8.9228176175,1,excellent,NA
AIMS,2024-01-01T20:15:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,7.179,8.9228176175,1,excellent,NA
AIMS,2024-01-01T20:30:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.978,8.9228176175,1,excellent,NA
AIMS,2024-01-01T20:45:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.978,8.9228176175,1,excellent,NA
AIMS,2024-01-01T21:00:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.877,8.9228176175,1,excellent,NA
AIMS,2024-01-01T21:15:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.775,8.9228176175,1,excellent,NA
AIMS,2024-01-01T21:30:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.775,8.9228176175,1,excellent,NA
AIMS,2024-01-01T21:45:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.674,8.9228176175,1,excellent,NA
AIMS,2024-01-01T22:00:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.573,8.9228176175,1,excellent,NA
AIMS,2024-01-01T22:15:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.37,8.9228176175,1,excellent,NA
AIMS,2024-01-01T22:30:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3444.5,6.268,8.9228176175,1,excellent,NA
AIMS,2024-01-01T22:45:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3272.2,6.064,8.4502902088,1,excellent,NA
AIMS,2024-01-01T23:00:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3272.2,5.86,8.4502902088,1,excellent,NA
AIMS,2024-01-01T23:15:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3272.2,5.655,8.4502902088,1,excellent,NA
AIMS,2024-01-01T23:30:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3272.2,5.552,8.4502902088,1,excellent,NA
AIMS,2024-01-01T23:45:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3272.2,5.347,8.4502902088,1,excellent,NA
AIMS,2024-01-02T00:00:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3272.2,5.347,8.4502902088,1,excellent,NA
AIMS,2024-01-02T00:15:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3272.2,5.141,8.4502902088,1,excellent,NA
AIMS,2024-01-02T00:30:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3272.2,5.141,8.4502902088,1,excellent,NA
AIMS,2024-01-02T00:45:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3272.2,5.037,8.4502902088,1,excellent,NA
AIMS,2024-01-02T01:00:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3272.2,4.934,8.4502902088,1,excellent,NA
AIMS,2024-01-02T01:15:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3272.2,4.934,8.4502902088,1,excellent,NA
AIMS,2024-01-02T01:30:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3272.2,4.934,8.4502902088,1,excellent,NA
AIMS,2024-01-02T01:45:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3272.2,4.934,8.4502902088,1,excellent,NA
AIMS,2024-01-02T02:00:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3272.2,5.141,8.4502902088,1,excellent,NA
AIMS,2024-01-02T02:15:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3272.2,5.244,8.4502902088,1,excellent,NA
AIMS,2024-01-02T02:30:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3272.2,5.244,8.4502902088,1,excellent,NA
AIMS,2024-01-02T02:45:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3272.2,5.347,8.4502902088,1,excellent,NA
AIMS,2024-01-02T03:00:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3272.2,5.45,8.4502902088,1,excellent,NA
AIMS,2024-01-02T03:15:00Z,TLA02,STIC,20231220-20240430,HS,21059666,3272.2,5.347,8.4502902088,1,excellent,NA
