project,datetime,siteId,rType,rep,sublocation,SN,condUncal,tempC,SpC,wetdry,qual_rating,QAQC
AIMS,2021-09-28T20:00:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,18.521,8.956226661399999,1,fair,NA
AIMS,2021-09-28T20:15:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,18.331,8.956226661399999,1,fair,NA
AIMS,2021-09-28T20:30:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,18.616,8.956226661399999,1,fair,NA
AIMS,2021-09-28T20:45:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,18.521,8.956226661399999,1,fair,NA
AIMS,2021-09-28T21:00:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,18.331,8.956226661399999,1,fair,NA
AIMS,2021-09-28T21:15:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,18.236,8.956226661399999,1,fair,NA
AIMS,2021-09-28T21:30:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,18.236,8.956226661399999,1,fair,NA
AIMS,2021-09-28T21:45:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,18.236,8.956226661399999,1,fair,NA
AIMS,2021-09-28T22:00:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,18.14,8.956226661399999,1,fair,NA
AIMS,2021-09-28T22:15:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,18.14,8.956226661399999,1,fair,NA
AIMS,2021-09-28T22:30:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,18.14,8.956226661399999,1,fair,NA
AIMS,2021-09-28T22:45:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,18.14,8.956226661399999,1,fair,NA
AIMS,2021-09-28T23:00:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,18.14,8.956226661399999,1,fair,NA
AIMS,2021-09-28T23:15:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,18.045,8.956226661399999,1,fair,NA
AIMS,2021-09-28T23:30:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,18.045,8.956226661399999,1,fair,NA
AIMS,2021-09-28T23:45:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,18.045,8.956226661399999,1,fair,NA
AIMS,2021-09-29T00:00:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,18.045,8.956226661399999,1,fair,NA
AIMS,2021-09-29T00:15:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,18.045,8.956226661399999,1,fair,NA
AIMS,2021-09-29T00:30:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,17.95,8.956226661399999,1,fair,NA
AIMS,2021-09-29T00:45:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,17.95,8.956226661399999,1,fair,NA
AIMS,2021-09-29T01:00:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,17.95,8.956226661399999,1,fair,NA
AIMS,2021-09-29T01:15:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,17.855,8.956226661399999,1,fair,NA
AIMS,2021-09-29T01:30:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,17.855,8.956226661399999,1,fair,NA
AIMS,2021-09-29T01:45:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,17.855,8.956226661399999,1,fair,NA
AIMS,2021-09-29T02:00:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,17.855,8.956226661399999,1,fair,NA
AIMS,2021-09-29T02:15:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,17.855,8.956226661399999,1,fair,NA
AIMS,2021-09-29T02:30:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,17.76,8.956226661399999,1,fair,NA
AIMS,2021-09-29T02:45:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,17.76,8.956226661399999,1,fair,NA
AIMS,2021-09-29T03:00:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,17.76,8.956226661399999,1,fair,NA
AIMS,2021-09-29T03:15:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,17.76,8.956226661399999,1,fair,NA
AIMS,2021-09-29T03:30:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,17.76,8.956226661399999,1,fair,NA
AIMS,2021-09-29T03:45:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,17.76,8.956226661399999,1,fair,NA
AIMS,2021-09-29T04:00:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,17.665,8.956226661399999,1,fair,NA
AIMS,2021-09-29T04:15:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,17.665,8.956226661399999,1,fair,NA
AIMS,2021-09-29T04:30:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,17.665,8.956226661399999,1,fair,NA
AIMS,2021-09-29T04:45:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,17.665,8.956226661399999,1,fair,NA
AIMS,2021-09-29T05:00:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,17.665,8.956226661399999,1,fair,NA
AIMS,2021-09-29T05:15:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,17.57,8.956226661399999,1,fair,NA
AIMS,2021-09-29T05:30:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,17.57,8.956226661399999,1,fair,NA
AIMS,2021-09-29T05:45:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,17.57,8.956226661399999,1,fair,NA
AIMS,2021-09-29T06:00:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,17.57,8.956226661399999,1,fair,NA
AIMS,2021-09-29T06:15:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,17.57,8.956226661399999,1,fair,NA
AIMS,2021-09-29T06:30:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,17.57,8.956226661399999,1,fair,NA
AIMS,2021-09-29T06:45:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,17.57,8.956226661399999,1,fair,NA
AIMS,2021-09-29T07:00:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,17.57,8.956226661399999,1,fair,NA
AIMS,2021-09-29T07:15:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,17.475,8.956226661399999,1,fair,NA
AIMS,2021-09-29T07:30:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,17.475,8.956226661399999,1,fair,NA
AIMS,2021-09-29T07:45:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,17.475,8.956226661399999,1,fair,NA
AIMS,2021-09-29T08:00:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,17.475,8.956226661399999,1,fair,NA
AIMS,2021-09-29T08:15:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,17.475,8.956226661399999,1,fair,NA
AIMS,2021-09-29T08:30:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,17.379,8.956226661399999,1,fair,NA
AIMS,2021-09-29T08:45:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,17.379,8.956226661399999,1,fair,NA
AIMS,2021-09-29T09:00:00Z,TLC02,STIC,20210928-20220221,HS,21059671,4133.4,17.379,8.956226661399999,1,fair,NA
