project,siteId,datetime,rType,rep,sublocation,SN,condUncal,tempC,SpC,wetdry,qual_rating,QAQC,year
AIMS,DRC06,2024-03-20T17:15:00Z,STIC,20240101-20241008,SW,21059634,26178,6.775,90.88610088,1,excellent,NA,2024
AIMS,DRC06,2024-03-19T00:45:00Z,STIC,20240101-20241008,SW,21059634,27555.7,4.102,102.3437463,1,excellent,NA,2024
AIMS,DRC06,2024-02-13T20:00:00Z,STIC,20240101-20241008,SW,21059634,31689.1,2.517,136.7191776,1,excellent,NA,2024
AIMS,DRC06,2024-03-19T20:00:00Z,STIC,20240101-20241008,SW,21059634,26178,5.552,90.88610088,1,excellent,NA,2024
AIMS,DRC06,2024-03-20T20:15:00Z,STIC,20240101-20241008,SW,21059634,24800.2,5.552,79.4276238,1,excellent,NA,2024
AIMS,DRC06,2024-03-21T01:15:00Z,STIC,20240101-20241008,SW,21059634,24800.2,4.831,79.4276238,1,excellent,NA,2024
AIMS,DRC06,2024-03-19T09:00:00Z,STIC,20240101-20241008,SW,21059634,26178,3.683,90.88610088,1,excellent,NA,2024
AIMS,DRC06,2024-02-13T12:15:00Z,STIC,20240101-20241008,SW,21059634,31689.1,3.049,136.7191776,1,excellent,NA,2024
AIMS,DRC06,2024-03-20T09:30:00Z,STIC,20240101-20241008,SW,21059634,24800.2,3.998,79.4276238,1,excellent,NA,2024
AIMS,DRC06,2024-03-19T07:30:00Z,STIC,20240101-20241008,SW,21059634,26178,3.683,90.88610088,1,excellent,NA,2024
AIMS,DRC06,2024-03-20T05:45:00Z,STIC,20240101-20241008,SW,21059634,24800.2,4.102,79.4276238,1,excellent,NA,2024
AIMS,DRC06,2024-03-19T12:15:00Z,STIC,20240101-20241008,SW,21059634,28933.5,4.934,113.8022234,1,excellent,NA,2024
AIMS,DRC06,2024-02-14T10:45:00Z,STIC,20240101-20241008,SW,21059634,30311.3,1.872,125.2607005,1,excellent,NA,2024
AIMS,DRC06,2024-02-13T15:15:00Z,STIC,20240101-20241008,SW,21059634,33066.9,3.578,148.1776547,1,excellent,NA,2024
AIMS,DRC06,2024-03-19T13:00:00Z,STIC,20240101-20241008,SW,21059634,28933.5,5.45,113.8022234,1,excellent,NA,2024
AIMS,DRC06,2024-03-20T01:00:00Z,STIC,20240101-20241008,SW,21059634,24800.2,4.311,79.4276238,1,excellent,NA,2024
AIMS,DRC06,2024-02-13T18:30:00Z,STIC,20240101-20241008,SW,21059634,31689.1,2.943,136.7191776,1,excellent,NA,2024
AIMS,DRC06,2024-02-13T15:30:00Z,STIC,20240101-20241008,SW,21059634,33066.9,3.578,148.1776547,1,excellent,NA,2024
AIMS,DRC06,2024-03-19T08:30:00Z,STIC,20240101-20241008,SW,21059634,26178,3.683,90.88610088,1,excellent,NA,2024
AIMS,DRC06,2024-03-19T21:00:00Z,STIC,20240101-20241008,SW,21059634,26178,5.037,90.88610088,1,excellent,NA,2024
AIMS,DRC06,2024-03-19T16:15:00Z,STIC,20240101-20241008,SW,21059634,27555.7,7.079,102.3437463,1,excellent,NA,2024
AIMS,DRC06,2024-03-19T19:15:00Z,STIC,20240101-20241008,SW,21059634,27555.7,5.86,102.3437463,1,excellent,NA,2024
AIMS,DRC06,2024-03-19T09:45:00Z,STIC,20240101-20241008,SW,21059634,26178,3.683,90.88610088,1,excellent,NA,2024
AIMS,DRC06,2024-03-19T19:30:00Z,STIC,20240101-20241008,SW,21059634,27555.7,5.757,102.3437463,1,excellent,NA,2024
AIMS,DRC06,2024-03-18T21:30:00Z,STIC,20240101-20241008,SW,21059634,27555.7,4.727,102.3437463,1,excellent,NA,2024
AIMS,DRC06,2024-02-12T04:00:00Z,STIC,20240101-20241008,SW,21059634,31689.1,1.98,136.7191776,1,excellent,NA,2024
AIMS,DRC06,2024-03-19T08:15:00Z,STIC,20240101-20241008,SW,21059634,26178,3.683,90.88610088,1,excellent,NA,2024
AIMS,DRC06,2024-03-20T05:30:00Z,STIC,20240101-20241008,SW,21059634,24800.2,4.102,79.4276238,1,excellent,NA,2024
AIMS,DRC06,2024-02-14T08:15:00Z,STIC,20240101-20241008,SW,21059634,30311.3,1.221,125.2607005,1,excellent,NA,2024
AIMS,DRC06,2024-03-20T10:15:00Z,STIC,20240101-20241008,SW,21059634,24800.2,4.102,79.4276238,1,excellent,NA,2024
AIMS,DRC06,2024-02-13T20:45:00Z,STIC,20240101-20241008,SW,21059634,31689.1,2.41,136.7191776,1,excellent,NA,2024
AIMS,DRC06,2024-03-20T21:00:00Z,STIC,20240101-20241008,SW,21059634,24800.2,5.347,79.4276238,1,excellent,NA,2024
AIMS,DRC06,2024-02-13T13:15:00Z,STIC,20240101-20241008,SW,21059634,31689.1,3.261,136.7191776,1,excellent,NA,2024
AIMS,DRC06,2024-02-13T19:15:00Z,STIC,20240101-20241008,SW,21059634,31689.1,2.73,136.7191776,1,excellent,NA,2024
AIMS,DRC06,2024-03-20T20:30:00Z,STIC,20240101-20241008,SW,21059634,24800.2,5.45,79.4276238,1,excellent,NA,2024
AIMS,DRC06,2024-03-19T11:00:00Z,STIC,20240101-20241008,SW,21059634,26178,4.102,90.88610088,1,excellent,NA,2024
AIMS,DRC06,2024-03-19T02:15:00Z,STIC,20240101-20241008,SW,21059634,26178,3.998,90.88610088,1,excellent,NA,2024
AIMS,DRC06,2024-03-20T12:15:00Z,STIC,20240101-20241008,SW,21059634,26178,5.037,90.88610088,1,excellent,NA,2024
AIMS,DRC06,2024-03-19T11:15:00Z,STIC,20240101-20241008,SW,21059634,26178,4.207,90.88610088,1,excellent,NA,2024
AIMS,DRC06,2024-03-18T20:45:00Z,STIC,20240101-20241008,SW,21059634,28933.5,5.037,113.8022234,1,excellent,NA,2024
AIMS,DRC06,2024-03-19T09:30:00Z,STIC,20240101-20241008,SW,21059634,26178,3.683,90.88610088,1,excellent,NA,2024
AIMS,DRC06,2024-03-20T10:30:00Z,STIC,20240101-20241008,SW,21059634,24800.2,4.102,79.4276238,1,excellent,NA,2024
AIMS,DRC06,2024-03-19T07:45:00Z,STIC,20240101-20241008,SW,21059634,26178,3.683,90.88610088,1,excellent,NA,2024
